揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
上空<div class="hint">skies; upper air</div>,じょうくう,skies; upper air,<ruby>上空<rt>じょうくう</rt></ruby>から <ruby>富士山<rt>ふじさん</rt></ruby>が <ruby>見<rt>み</rt></ruby>えました。,I could see Mt. Fuji from the sky.,
火花<div class="hint">spark</div>,ひばな,spark,<ruby>飛行機<rt>ひこうき</rt></ruby>が <ruby>着陸<rt>ちゃくりく</rt></ruby>する <ruby>時<rt>とき</rt></ruby>タイヤから <ruby>火花<rt>ひばな</rt></ruby>が <ruby>出<rt>で</rt></ruby>た。,Sparks flew up from the tire when the airplane landed.,
山林<div class="hint">mountains and forests</div>,さんりん,mountains and forests,<ruby>山林<rt>さんりん</rt></ruby>の <ruby>中<rt>なか</rt></ruby>をマウンテンバイクで <ruby>走<rt>はし</rt></ruby>った。,I cycled through the mountain forest by mountain bike.,
分子<div class="hint">molecule; numerator</div>,ぶんし,molecule; numerator,<ruby>水<rt>みず</rt></ruby>には <ruby>酸素<rt>さんそ</rt></ruby>の <ruby>分子<rt>ぶんし</rt></ruby>が <ruby>含<rt>ふく</rt></ruby>まれています。,Water contains oxygen molecules.,
供<div class="hint">attendant; retinue</div>,とも,attendant; retinue,<ruby>王様<rt>おうさま</rt></ruby>はたくさんのお <ruby>供<rt>とも</rt></ruby>を <ruby>従<rt>したが</rt></ruby>えていました。,The king was accompanied by a horde of attendants.,
好ましい<div class="hint">desirable; welcome</div>,このましい,desirable; welcome,その <ruby>状況<rt>じょうきょう</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>にとって <ruby>好<rt>この</rt></ruby>ましくなかった。,The situation was undesirable for him.,
友好<div class="hint">amity; friendship</div>,ゆうこう,amity; friendship,<ruby>大使<rt>たいし</rt></ruby>は <ruby>友好<rt>ゆうこう</rt></ruby>の <ruby>意<rt>い</rt></ruby>を <ruby>示<rt>しめ</rt></ruby>した。,The ambassador showed amicability.,
大家<div class="hint">authority; great master</div>,たいか,authority; great master,<ruby>彼<rt>かれ</rt></ruby>は <ruby>書道<rt>しょどう</rt></ruby>の <ruby>大家<rt>たいか</rt></ruby>です。,He is a calligraphy master.,
来客<div class="hint">guest; visitor</div>,らいきゃく,guest; visitor,<ruby>今日<rt>きょう</rt></ruby> <ruby>午後<rt>ごご</rt></ruby> 2 <ruby>時<rt>じ</rt></ruby>に <ruby>来客<rt>らいきゃく</rt></ruby>があります。,I have a visitor at 2pm today.,
天下<div class="hint">the whole country; the world</div>,てんか,the whole country; the world,<ruby>母<rt>はは</rt></ruby>の <ruby>料理<rt>りょうり</rt></ruby>は <ruby>天下一品<rt>てんかいっぴん</rt></ruby>だ。,My mother's cooking is the best.,
スタッフ<div class="hint">the staff</div>,すたっふ,the staff,うちのスタッフは <ruby>皆<rt>みな</rt></ruby>よく <ruby>働<rt>はたら</rt></ruby>く。,All our staff works hard.,
天体<div class="hint">heavenly body</div>,てんたい,heavenly body,<ruby>父<rt>ちち</rt></ruby>に <ruby>天体<rt>てんたい</rt></ruby> <ruby>望遠鏡<rt>ぼうえんきょう</rt></ruby>を <ruby>買<rt>か</rt></ruby>ってもらった。,I was bought an astronomical telescope by my father.,
お気に入り<div class="hint">favorites</div>,おきにいり,favorites,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>先生<rt>せんせい</rt></ruby>のお <ruby>気に<ruby>入<rt>きにい</rt></ruby>りだ。,She is the teacher's favorite.,
一気に<div class="hint">in one breath</div>,いっきに,in one breath,<ruby>彼<rt>かれ</rt></ruby>は <ruby>一気<rt>いっき</rt></ruby>にビールを <ruby>飲<rt>の</rt></ruby>んだ。,He downed the beer in one gulp.,
気まぐれ<div class="hint">caprice; whim</div>,きまぐれ,caprice; whim,<ruby>彼女<rt>かのじょ</rt></ruby>はけっこう <ruby>気<rt>き</rt></ruby>まぐれだ。,She is quite fickle.,
気まま<div class="hint">selfish; willful</div>,きまま,selfish; willful,<ruby>彼<rt>かれ</rt></ruby>は <ruby>気<rt>き</rt></ruby>ままな <ruby>生活<rt>せいかつ</rt></ruby>を <ruby>送<rt>おく</rt></ruby>っている。,He lives a selfish lifestyle.,
大気<div class="hint">the atmosphere</div>,たいき,the atmosphere,<ruby>大気<rt>たいき</rt></ruby> <ruby>汚染<rt>おせん</rt></ruby>が <ruby>広<rt>ひろ</rt></ruby>がっている。,Air pollution is spreading.,
時雨<div class="hint">late fall or early winter rain</div>,しぐれ,late fall or early winter rain,<ruby>冷<rt>つめ</rt></ruby>たい <ruby>時雨<rt>しぐれ</rt></ruby>に <ruby>遭<rt>あ</rt></ruby>った。,I encountered a cold drizzle.,
晴天<div class="hint">cloudless sky; fine weather</div>,せいてん,cloudless sky; fine weather,このところ <ruby>晴天<rt>せいてん</rt></ruby>が <ruby>続<rt>つづ</rt></ruby>いています。,We have had a spate of fine weather lately.,
明年<div class="hint">next year</div>,みょうねん,next year,<ruby>明年<rt>みょうねん</rt></ruby>は <ruby>楽<rt>たの</rt></ruby>しい <ruby>年<rt>とし</rt></ruby>になりそうです。,Next year promises to be a fun year.,
明かす<div class="hint">disclose; spend</div>,あかす,disclose; spend,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>に <ruby>秘密<rt>ひみつ</rt></ruby>を <ruby>明<rt>あ</rt></ruby>かしてくれた。,She revealed the secret to me.,
明暗<div class="hint">contrast; light and dark</div>,めいあん,contrast; light and dark,<ruby>心構<rt>こころがま</rt></ruby>えが <ruby>人生<rt>じんせい</rt></ruby>の <ruby>明暗<rt>めいあん</rt></ruby>を <ruby>分<rt>わ</rt></ruby>ける。,Your state of mind separates the bright and dark sides of life.,
日向<div class="hint">sunny place; sunshine</div>,ひなた,sunny place; sunshine,<ruby>気持<rt>きも</rt></ruby>ちいいので <ruby>日向<rt>ひなた</rt></ruby>に <ruby>行<rt>い</rt></ruby>きましょう。,Let's go in the sunshine because it feels nice.,
内向<div class="hint">introversion</div>,ないこう,introversion,<ruby>彼<rt>かれ</rt></ruby>の <ruby>怒<rt>いか</rt></ruby>りは <ruby>表現<rt>ひょうげん</rt></ruby>されることなく <ruby>内向<rt>ないこう</rt></ruby>した。,He hid his anger and kept it to himself.,
目安<div class="hint">aim; standard</div>,めやす,aim; standard,<ruby>一 <ruby>週間<rt>しゅうかん</rt></ruby>を <ruby>目安<rt>めやす</rt></ruby>に <ruby>仕事<rt>しごと</rt></ruby>を <ruby>進<rt>すす</rt></ruby>めて <ruby>下<rt>くだ</rt></ruby>さい。,Please proceed with the task; taking a week as the nominal target.,
インテリア<div class="hint">inside; interior</div>,いんてりあ,inside; interior,インテリアが <ruby>素敵<rt>すてき</rt></ruby>な <ruby>部屋<rt>へや</rt></ruby>ですね。,This is a beautifully decorated room.,
高低<div class="hint">high and low</div>,こうてい,high and low,この <ruby>山道<rt>やまみち</rt></ruby>は <ruby>高低<rt>こうてい</rt></ruby>の <ruby>差<rt>さ</rt></ruby>が <ruby>激<rt>はげ</rt></ruby>しい。,The difference between the highs and lows on this mountain path are stark.,
目前<div class="hint">at hand; imminent</div>,もくぜん,at hand; imminent,<ruby>試験<rt>しけん</rt></ruby>が <ruby>目前<rt>もくぜん</rt></ruby>です。,My exams are just around the corner.,
男前<div class="hint">handsome man</div>,おとこまえ,handsome man,<ruby>彼<rt>かれ</rt></ruby>は <ruby>男前<rt>おとこまえ</rt></ruby>だ。,He's handsome.,
一人前<div class="hint">one portion</div>,いちにんまえ,one portion,<ruby>息子<rt>むすこ</rt></ruby>もようやく<ruby>一 <ruby>人前<rt>にんまえ</rt></ruby>になりました。,My son has finally become an independent adult.,
明後日<div class="hint">day after tomorrow</div>,みょうごにち,day after tomorrow,では <ruby>明後日<rt>みょうごにち</rt></ruby>にお <ruby>会<rt>あ</rt></ruby>いしましょう。,Then; let's meet the day after tomorrow.,
大半<div class="hint">majority; the greater part</div>,たいはん,majority; the greater part,その <ruby>番組<rt>ばんぐみ</rt></ruby>のリスナーは <ruby>大半<rt>たいはん</rt></ruby>が <ruby>若者<rt>わかもの</rt></ruby>です。,Most listeners of that program are young.,
昼夜<div class="hint">day and night</div>,ちゅうや,day and night,その <ruby>工場<rt>こうじょう</rt></ruby>では <ruby>皆<rt>みな</rt></ruby> <ruby>昼夜<rt>ちゅうや</rt></ruby>を <ruby>問<rt>と</rt></ruby>わず <ruby>働<rt>はたら</rt></ruby>いている。,At that factory everyone works day and night.,
前夜<div class="hint">eve; previous night</div>,ぜんや,eve; previous night,<ruby>試験<rt>しけん</rt></ruby> <ruby>前夜<rt>ぜんや</rt></ruby> <ruby>彼<rt>かれ</rt></ruby>はもう <ruby>一度<rt>いちど</rt></ruby>ノートに <ruby>目<rt>め</rt></ruby>を <ruby>通<rt>とお</rt></ruby>した。,He looked over his notebook again the night before the examination.,
食<div class="hint">appetite; eating</div>,しょく,appetite; eating,<ruby>最近<rt>さいきん</rt></ruby> <ruby>父<rt>ちち</rt></ruby>は <ruby>食<rt>しょく</rt></ruby>が <ruby>細<rt>ほそ</rt></ruby>くなったようだ。,Recently; my father seems to have lost his appetite.,
日食<div class="hint">solar eclipse</div>,にっしょく,solar eclipse,<ruby>今日<rt>きょう</rt></ruby> <ruby>日食<rt>にっしょく</rt></ruby>を <ruby>見<rt>み</rt></ruby>ることができます。,You can see a solar eclipse today.,
見た目<div class="hint">outward appearance</div>,みため,outward appearance,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>見た<ruby>目<rt>みため</rt></ruby>をすごく <ruby>気<rt>き</rt></ruby>にします。,She worries terribly about how she looks.,
外見<div class="hint">outward appearance</div>,がいけん,outward appearance,<ruby>人<rt>ひと</rt></ruby>を <ruby>外見<rt>がいけん</rt></ruby>だけで <ruby>判断<rt>はんだん</rt></ruby>してはいけない。,Do not judge people from appearances alone.,
見分け<div class="hint">distinction</div>,みわけ,distinction,あの <ruby>双子<rt>ふたご</rt></ruby>は <ruby>見分<rt>みわ</rt></ruby>けがつかない。,I cannot tell the difference between the twins.,
見る見る<div class="hint">in a moment</div>,みるみる,in a moment,<ruby>火<rt>ひ</rt></ruby>はみるみる <ruby>燃え<ruby>広<rt>もえひろ</rt></ruby>がった。,The fire has spread rapidly.,
ＯＬ<div class="hint">female office worker</div>,おーえる,female office worker,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>商社<rt>しょうしゃ</rt></ruby>の OLです。,She is an office worker in a trading company.,
下見<div class="hint">preliminary inspection</div>,したみ,preliminary inspection,パーティーの <ruby>会場<rt>かいじょう</rt></ruby>を <ruby>下見<rt>したみ</rt></ruby>しました。,I made a preliminary inspection of the hall for the party.,
見聞<div class="hint">experience</div>,けんぶん,experience,<ruby>若<rt>わか</rt></ruby>いうちに <ruby>海外<rt>かいがい</rt></ruby>で <ruby>見聞<rt>けんぶん</rt></ruby>を <ruby>広<rt>ひろ</rt></ruby>めなさい。,While you are young; go abroad and broaden your experiences.,
文体<div class="hint">style</div>,ぶんたい,style,<ruby>私<rt>わたし</rt></ruby>はあの <ruby>作家<rt>さっか</rt></ruby>の <ruby>文体<rt>ぶんたい</rt></ruby>が <ruby>好<rt>す</rt></ruby>きです。,I like that writer's style.,
小文字<div class="hint">lowercase letter</div>,こもじ,lowercase letter,<ruby>文<rt>ぶん</rt></ruby>の <ruby>最初<rt>さいしょ</rt></ruby>の <ruby>文字<rt>もじ</rt></ruby>が <ruby>小文字<rt>こもじ</rt></ruby>になっていますよ。,The first letter of the sentence is in lower case.,
大文字<div class="hint">capital letter</div>,おおもじ,capital letter,お <ruby>名前<rt>なまえ</rt></ruby>を <ruby>大文字<rt>おおもじ</rt></ruby>で <ruby>書<rt>か</rt></ruby>いて <ruby>下<rt>くだ</rt></ruby>さい。,Please write your name in capital letters.,
漢文<div class="hint">Chinese classics; Chinese writing</div>,かんぶん,Chinese classics; Chinese writing,<ruby>学校<rt>がっこう</rt></ruby>で <ruby>漢文<rt>かんぶん</rt></ruby>の <ruby>授業<rt>じゅぎょう</rt></ruby>を <ruby>受<rt>う</rt></ruby>けている。,I have a class on Chinese classics at school.,
会見<div class="hint">audience; interview</div>,かいけん,audience; interview,<ruby>首相<rt>しゅしょう</rt></ruby>の <ruby>会見<rt>かいけん</rt></ruby>は <ruby>明日<rt>あした</rt></ruby> <ruby>行<rt>おこな</rt></ruby>われます。,The Prime Minister's interview will be held tomorrow.,
合間<div class="hint">interval</div>,あいま,interval,<ruby>彼<rt>かれ</rt></ruby>は <ruby>勉強<rt>べんきょう</rt></ruby>の <ruby>合間<rt>あいま</rt></ruby>に <ruby>音楽<rt>おんがく</rt></ruby>を <ruby>聞<rt>き</rt></ruby>きます。,He listens to music in his spare time when he is not studying.,
会合<div class="hint">gathering; meeting</div>,かいごう,gathering; meeting,<ruby>会合<rt>かいごう</rt></ruby>で <ruby>活発<rt>かっぱつ</rt></ruby>な <ruby>意見<rt>いけん</rt></ruby>が <ruby>交<rt>か</rt></ruby>わされた。,At the meeting; there was a lively exchange of opinions.,
仕入れ<div class="hint">purchasing; stocking</div>,しいれ,purchasing; stocking,<ruby>商品<rt>しょうひん</rt></ruby>の <ruby>仕入<rt>しい</rt></ruby>れが <ruby>遅<rt>おく</rt></ruby>れている。,The stocking up of products is behind schedule.,
何事<div class="hint">what; whatever</div>,なにごと,what; whatever,いったい <ruby>何事<rt>なにごと</rt></ruby>ですか。,What on earth is going on?,
万事<div class="hint">all things; everything</div>,ばんじ,all things; everything,<ruby>万事<rt>ばんじ</rt></ruby>うまくいっています。,Everything is going well.,
故事<div class="hint">historical fact</div>,こじ,historical fact,その <ruby>言葉<rt>ことば</rt></ruby>は <ruby>中国<rt>ちゅうごく</rt></ruby>の <ruby>故事<rt>こじ</rt></ruby>に <ruby>由来<rt>ゆらい</rt></ruby>する。,The word is of Chinese origin.,
何故<div class="hint">how; why</div>,なにゆえ,how; why,<ruby>何故<rt>なにゆえ</rt></ruby> <ruby>泣<rt>な</rt></ruby>いているのですか。,Why are you crying?,
レンタル<div class="hint">hire; rental</div>,れんたる,hire; rental,<ruby>旅先<rt>たびさき</rt></ruby>で <ruby>自転車<rt>じてんしゃ</rt></ruby>をレンタルした。,We hired bicycles during vacation.,
本場<div class="hint">habitat; home</div>,ほんば,habitat; home,インドはスパイスの <ruby>本場<rt>ほんば</rt></ruby>です。,India is the home of spices.,
外車<div class="hint">imported car</div>,がいしゃ,imported car,<ruby>彼<rt>かれ</rt></ruby>はドイツ <ruby>製<rt>せい</rt></ruby>の <ruby>外車<rt>がいしゃ</rt></ruby>を <ruby>持<rt>も</rt></ruby>っている。,He has a German car.,
社交<div class="hint">sociability</div>,しゃこう,sociability,<ruby>子供<rt>こども</rt></ruby>には <ruby>勉強<rt>べんきょう</rt></ruby>だけじゃなくて <ruby>社交<rt>しゃこう</rt></ruby>も <ruby>大事<rt>だいじ</rt></ruby>ですよ。,Not just study but social interaction is vital for children; you know.,
通話<div class="hint">telephone call</div>,つうわ,telephone call,<ruby>今月<rt>こんげつ</rt></ruby>は <ruby>通話<rt>つうわ</rt></ruby> <ruby>料<rt>りょう</rt></ruby>が <ruby>高<rt>たか</rt></ruby>かった。,This month's phone bill was high.,
文字通り<div class="hint">literally</div>,もじどおり,literally,その <ruby>本<rt>ほん</rt></ruby>は <ruby>文字通<rt>もじどお</rt></ruby>り <ruby>解釈<rt>かいしゃく</rt></ruby>できれば <ruby>十分<rt>じゅうぶん</rt></ruby>だ。,It will be fine if you can translate this book literally.,
通達<div class="hint">communication</div>,つうたつ,communication,<ruby>個人<rt>こじん</rt></ruby> <ruby>情報<rt>じょうほう</rt></ruby>に <ruby>関<rt>かん</rt></ruby>する <ruby>通達<rt>つうたつ</rt></ruby>が <ruby>回<rt>まわ</rt></ruby>ってきた。,A notice concerning personal data has come around.,
道場<div class="hint">dojo; gymnasium</div>,どうじょう,dojo; gymnasium,<ruby>彼<rt>かれ</rt></ruby>は <ruby>空手<rt>からて</rt></ruby>の <ruby>道場<rt>どうじょう</rt></ruby>に <ruby>通<rt>かよ</rt></ruby>っています。,He goes to the karate dojo.,
人道<div class="hint">humanity; morality</div>,じんどう,humanity; morality,<ruby>戦争<rt>せんそう</rt></ruby>は <ruby>人道<rt>じんどう</rt></ruby>に <ruby>対<rt>たい</rt></ruby>する <ruby>罪<rt>つみ</rt></ruby>だ。,War is a crime against humanity.,
中道<div class="hint">golden mean; middle road</div>,ちゅうどう,golden mean; middle road,<ruby>中道<rt>ちゅうどう</rt></ruby>は <ruby>仏教<rt>ぶっきょう</rt></ruby>の <ruby>教<rt>おし</rt></ruby>えの <ruby>一<rt>ひと</rt></ruby>つです。,Moderation is one of the teachings of Buddhism.,
路上<div class="hint">on the road</div>,ろじょう,on the road,ここは <ruby>路上<rt>ろじょう</rt></ruby> <ruby>駐車<rt>ちゅうしゃ</rt></ruby>が <ruby>禁止<rt>きんし</rt></ruby>されている。,It is prohibited to park on the street here.,
大地<div class="hint">earth; ground</div>,だいち,earth; ground,<ruby>野菜<rt>やさい</rt></ruby>は <ruby>大地<rt>だいち</rt></ruby>の <ruby>恵<rt>めぐ</rt></ruby>みです。,Vegetables are a gift from the earth.,
高地<div class="hint">high ground; plateau</div>,こうち,high ground; plateau,サッカーは <ruby>高地<rt>こうち</rt></ruby>での <ruby>試合<rt>しあい</rt></ruby>が <ruby>禁止<rt>きんし</rt></ruby>されている。,Soccer matches are prohibited at high places.,
路地<div class="hint">alley; lane</div>,ろじ,alley; lane,<ruby>店<rt>みせ</rt></ruby>はその <ruby>路地<rt>ろじ</rt></ruby>を <ruby>入<rt>はい</rt></ruby>ったところです。,The shop is just at the entry to the alley.,
度<div class="hint">degree; extent</div>,ど,degree; extent,<ruby>彼<rt>かれ</rt></ruby>の <ruby>無神経<rt>むしんけい</rt></ruby>さは <ruby>度<rt>ど</rt></ruby>が <ruby>過<rt>す</rt></ruby>ぎている。,His callousness has gone too far.,
近日<div class="hint">shortly; soon</div>,きんじつ,shortly; soon,<ruby>新<rt>しん</rt></ruby> <ruby>商品<rt>しょうひん</rt></ruby>が <ruby>近日<rt>きんじつ</rt></ruby> <ruby>発売<rt>はつばい</rt></ruby>になります。,The new item will be put on the market shortly.,
オープン<div class="hint">opening</div>,おーぷん,opening,まもなく <ruby>話題<rt>わだい</rt></ruby>の <ruby>店<rt>みせ</rt></ruby>がオープンする。,The much talked-about shop will open soon.,
遠方<div class="hint">distant place</div>,えんぽう,distant place,お <ruby>客様<rt>きゃくさま</rt></ruby>が <ruby>遠方<rt>えんぽう</rt></ruby>からいらっしゃいました。,The guest came from far away.,
