無料<div class="hint">no charge; free</div>,むりょう,no charge; free,お <ruby>飲<rt>の</rt></ruby>み <ruby>物<rt>もの</rt></ruby>は <ruby>無料<rt>むりょう</rt></ruby>でございます。,Beverages are free of charge.,noun
すっきり<div class="hint">refreshed</div>,すっきり,refreshed,よく <ruby>眠<rt>ねむ</rt></ruby>ったら <ruby>気分<rt>きぶん</rt></ruby>がすっきりした。,I felt refreshed after a good sleep.,adverb
迎える<div class="hint">welcome; greet</div>,むかえる,welcome; greet,<ruby>姉<rt>あね</rt></ruby>が <ruby>空港<rt>くうこう</rt></ruby>まで <ruby>迎<rt>むか</rt></ruby>えに <ruby>来<rt>き</rt></ruby>てくれます。,My big sister is coming to pick me up at the airport.,verb
お巡りさん<div class="hint">police officer</div>,おまわりさん,police officer,あのお <ruby>巡<rt>まわ</rt></ruby>りさんに <ruby>道<rt>みち</rt></ruby>を <ruby>聞<rt>き</rt></ruby>きましょう。,Let's ask that police officer for directions.,noun
幾ら<div class="hint">how much</div>,いくら,how much,この <ruby>靴<rt>くつ</rt></ruby>は <ruby>幾<rt>いく</rt></ruby>らですか。,How much are these shoes?,interrogative
僕<div class="hint">I; me (usually used by young males)</div>,ぼく,I; me (usually used by young males),<ruby>僕<rt>ぼく</rt></ruby>は <ruby>学生<rt>がくせい</rt></ruby>です。,I'm a student.,noun
穴<div class="hint">hole</div>,あな,hole,<ruby>靴下<rt>くつした</rt></ruby>に <ruby>穴<rt>あな</rt></ruby>が <ruby>開<rt>あ</rt></ruby>いている。,There are holes in my socks.,noun
とんでもない<div class="hint">unthinkable; outrageous</div>,とんでもない,unthinkable; outrageous,<ruby>仕事<rt>しごと</rt></ruby> <ruby>中<rt>ちゅう</rt></ruby>に <ruby>帰<rt>かえ</rt></ruby>るなんてとんでもない。,It's unthinkable to go home in the middle of work.,adjective
偉い<div class="hint">great; eminent</div>,えらい,great; eminent,<ruby>彼<rt>かれ</rt></ruby>は <ruby>偉<rt>えら</rt></ruby>い <ruby>学者<rt>がくしゃ</rt></ruby>です。,He's a great scholar.,adjective
爪<div class="hint">nail; claw</div>,つめ,nail; claw,<ruby>爪<rt>つめ</rt></ruby>が <ruby>伸<rt>の</rt></ruby>びています。,My nails have grown.,noun
棚<div class="hint">shelf; rack</div>,たな,shelf; rack,<ruby>大<rt>おお</rt></ruby>きな <ruby>棚<rt>たな</rt></ruby>はとても <ruby>便利<rt>べんり</rt></ruby>です。,A large set of shelves is very useful.,noun
本棚<div class="hint">bookshelf; bookcase</div>,ほんだな,bookshelf; bookcase,これはとても <ruby>大<rt>おお</rt></ruby>きな <ruby>本棚<rt>ほんだな</rt></ruby>ですね。,This is a very big bookshelf.,noun
コメント<div class="hint">comment</div>,こめんと,comment,<ruby>今日<rt>きょう</rt></ruby>はユーザーからのコメントはなかった。,There was no comment from users today.,verbal noun
釣る<div class="hint">fish; catch</div>,つる,fish; catch,<ruby>昨日<rt>きのう</rt></ruby> <ruby>大<rt>おお</rt></ruby>きな <ruby>魚<rt>さかな</rt></ruby>を <ruby>釣<rt>つ</rt></ruby>りました。,I caught a big fish yesterday.,verb
釣り<div class="hint">fishing</div>,つり,fishing,<ruby>父<rt>ちち</rt></ruby>は <ruby>釣<rt>つ</rt></ruby>りが <ruby>大好<rt>だいす</rt></ruby>きです。,My father loves fishing.,noun
鍋<div class="hint">pan</div>,なべ,pan,<ruby>鍋<rt>なべ</rt></ruby>にスープが <ruby>入<rt>はい</rt></ruby>っているよ。,There's some soup in the pan.,noun
温泉<div class="hint">hot spring</div>,おんせん,hot spring,ここの <ruby>温泉<rt>おんせん</rt></ruby>はよく <ruby>効<rt>き</rt></ruby>くそうです。,I hear this hot spring is very effective.,noun
泥棒<div class="hint">thief; burglar</div>,どろぼう,thief; burglar,<ruby>近所<rt>きんじょ</rt></ruby>に <ruby>泥棒<rt>どろぼう</rt></ruby>が <ruby>入<rt>はい</rt></ruby>った。,There was a burglary in the neighborhood.,verbal noun
テント<div class="hint">tent</div>,てんと,tent,みんなでテントを <ruby>張<rt>は</rt></ruby>りました。,We set up the tent together.,noun
沸く<div class="hint">boil; get loud (crowd applause etc.)</div>,わく,boil; get loud (crowd applause etc.),お <ruby>風呂<rt>ふろ</rt></ruby>が <ruby>沸<rt>わ</rt></ruby>きました。,The bath is ready.,verb
沸かす<div class="hint">boil (water)</div>,わかす,boil (water),お <ruby>湯<rt>ゆ</rt></ruby>を <ruby>沸<rt>わ</rt></ruby>かしてください。,Please boil some water.,verb
洗濯機<div class="hint">washing machine; washer</div>,せんたくき,washing machine; washer,<ruby>新<rt>あたら</rt></ruby>しい <ruby>洗濯<rt>せんたく</rt></ruby> <ruby>機<rt>き</rt></ruby>を <ruby>買<rt>か</rt></ruby>いました。,I bought a new washing machine.,noun
濡れる<div class="hint">get wet</div>,ぬれる,get wet,<ruby>雨<rt>あめ</rt></ruby>で <ruby>濡<rt>ぬ</rt></ruby>れてしまった。,I got wet in the rain.,verb
喫茶店<div class="hint">coffee shop; café</div>,きっさてん,coffee shop; café,<ruby>喫茶店<rt>きっさてん</rt></ruby>でコーヒーを <ruby>飲<rt>の</rt></ruby>んだ。,I drank coffee in the café.,noun
エアメール<div class="hint">airmail (loanword)</div>,えあめーる,airmail (loanword),<ruby>彼<rt>かれ</rt></ruby>にエアメールを <ruby>送<rt>おく</rt></ruby>りました。,I sent him a letter by airmail.,noun
虫<div class="hint">insect; bug</div>,むし,insect; bug,<ruby>庭<rt>にわ</rt></ruby>で <ruby>秋<rt>あき</rt></ruby>の <ruby>虫<rt>むし</rt></ruby>が <ruby>鳴<rt>な</rt></ruby>いているね。,Autumn insects are chirping in the garden.,noun
怠ける<div class="hint">be lazy; slack off</div>,なまける,be lazy; slack off,<ruby>怠<rt>なま</rt></ruby>けていないで、 <ruby>手伝<rt>てつだ</rt></ruby>って。,Stop slacking and help me!,verb
一生懸命<div class="hint">hard-working; doing one's best</div>,いっしょうけんめい,hard-working; doing one's best,<ruby>彼<rt>かれ</rt></ruby>は <ruby>毎日<rt>まいにち</rt></ruby> <ruby>一生懸命<rt>いっしょうけんめい</rt></ruby> <ruby>働<rt>はたら</rt></ruby>いている。,He works hard every day.,adjectival noun
休憩<div class="hint">rest; break</div>,きゅうけい,rest; break,<ruby>少<rt>すこ</rt></ruby>し <ruby>休憩<rt>きゅうけい</rt></ruby>しましょう。,Let's take a break.,verbal noun
天井<div class="hint">ceiling</div>,てんじょう,ceiling,この <ruby>部屋<rt>へや</rt></ruby>は <ruby>天井<rt>てんじょう</rt></ruby>が <ruby>高<rt>たか</rt></ruby>いですね。,This room has a high ceiling.,noun
ナイロン<div class="hint">nylon</div>,ないろん,nylon,このジャケットはナイロンでできています。,This jacket is made of nylon.,noun
納豆<div class="hint">fermented soybeans</div>,なっとう,fermented soybeans,<ruby>私<rt>わたし</rt></ruby>は <ruby>納豆<rt>なっとう</rt></ruby>をよく <ruby>食<rt>た</rt></ruby>べます。,I often eat natto.,noun
化粧<div class="hint">makeup</div>,けしょう,makeup,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>化粧<rt>けしょう</rt></ruby>が <ruby>上手<rt>うま</rt></ruby>い。,She's good at makeup.,verbal noun
畑<div class="hint">field</div>,はたけ,field,<ruby>母<rt>はは</rt></ruby>は <ruby>畑<rt>はたけ</rt></ruby> <ruby>仕事<rt>しごと</rt></ruby>が <ruby>好<rt>す</rt></ruby>きだ。,My mother likes working in the field.,noun
炊く<div class="hint">cook (rice)</div>,たく,cook (rice),<ruby>母<rt>はは</rt></ruby>は <ruby>毎朝<rt>まいあさ</rt></ruby>ご <ruby>飯<rt>はん</rt></ruby>を <ruby>炊<rt>た</rt></ruby>く。,My mother cooks rice every morning.,verb
自炊<div class="hint">cooking (for oneself)</div>,じすい,cooking (for oneself),<ruby>私<rt>わたし</rt></ruby>は <ruby>毎日<rt>まいにち</rt></ruby>、 <ruby>自炊<rt>じすい</rt></ruby>している。,I cook for myself every day.,verbal noun
ハンドバッグ<div class="hint">handbag</div>,はんどばっぐ,handbag,ハンドバッグを <ruby>忘<rt>わす</rt></ruby>れました。,I forgot my handbag.,noun
灰皿<div class="hint">ashtray</div>,はいざら,ashtray,<ruby>灰皿<rt>はいざら</rt></ruby>をください。,Please give me an ashtray.,noun
灰色<div class="hint">ash color; gray</div>,はいいろ,ash color; gray,<ruby>今日<rt>きょう</rt></ruby>の <ruby>空<rt>そら</rt></ruby>は <ruby>灰色<rt>はいいろ</rt></ruby>だ。,The sky's gray today.,noun
灰<div class="hint">ashes</div>,はい,ashes,<ruby>火事<rt>かじ</rt></ruby>ですべて <ruby>灰<rt>はい</rt></ruby>になった。,Everything turned into ashes in the fire.,noun
毛<div class="hint">hair; down</div>,け,hair; down,<ruby>猫<rt>ねこ</rt></ruby>の <ruby>毛<rt>け</rt></ruby>がセーターに <ruby>付<rt>つ</rt></ruby>いた。,I got cat hair on my sweater.,noun
舌<div class="hint">tongue</div>,した,tongue,<ruby>舌<rt>した</rt></ruby>を <ruby>出<rt>だ</rt></ruby>してください。,Stick out your tongue.,noun
アイロン<div class="hint">iron</div>,あいろん,iron,<ruby>彼女<rt>かのじょ</rt></ruby>はシャツにアイロンをかけた。,She ironed the shirt.,noun
臭い<div class="hint">stinky</div>,くさい,stinky,<ruby>納豆<rt>なっとう</rt></ruby>は <ruby>臭<rt>くさ</rt></ruby>い。,Natto stinks.,adjective
臭い<div class="hint">(bad) smell</div>,におい,(bad) smell,ここはいやな <ruby>臭<rt>にお</rt></ruby>いがする。,There's an unpleasant smell here.,noun
匂い<div class="hint">(pleasant) smell; odor</div>,におい,(pleasant) smell; odor,いい <ruby>匂<rt>にお</rt></ruby>いがする。,It smells good.,noun
尽くす<div class="hint">make utmost efforts; devote to</div>,つくす,make utmost efforts; devote to,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>夫<rt>おっと</rt></ruby>に <ruby>尽<rt>つ</rt></ruby>くしている。,She is devoted to her husband.,verb
居間<div class="hint">living room</div>,いま,living room,<ruby>父<rt>ちち</rt></ruby>は <ruby>居間<rt>いま</rt></ruby>でテレビを <ruby>見<rt>み</rt></ruby>ている。,My father is watching TV in the living room.,noun
ラッシュアワー<div class="hint">rush hour</div>,らっしゅあわー,rush hour,<ruby>私<rt>わたし</rt></ruby>はラッシュアワーの <ruby>電車<rt>でんしゃ</rt></ruby>が <ruby>嫌<rt>きら</rt></ruby>いです。,I hate rush hour trains.,noun
扇風機<div class="hint">electric fan</div>,せんぷうき,electric fan,<ruby>暑<rt>あつ</rt></ruby>いから <ruby>扇風機<rt>せんぷうき</rt></ruby>をつけよう。,It's hot; so let's turn on the fan.,noun
君<div class="hint">you</div>,きみ,you,この <ruby>本<rt>ほん</rt></ruby>を <ruby>君<rt>きみ</rt></ruby>にあげます。,I'm going to give you this book.,noun
豚肉<div class="hint">pork</div>,ぶたにく,pork,<ruby>豚肉<rt>ぶたにく</rt></ruby>は <ruby>美味<rt>おい</rt></ruby>しいです。,Pork is delicious.,noun
豚<div class="hint">pig</div>,ぶた,pig,<ruby>豚<rt>ぶた</rt></ruby>はすごく <ruby>鼻<rt>はな</rt></ruby>がいい。,Pigs have a very keen sense of smell.,noun
ウィスキー<div class="hint">whisky</div>,うぃすきー,whisky,このウィスキーは <ruby>強<rt>つよ</rt></ruby>いよ。,This whisky is strong.,noun
鶏<div class="hint">rooster; hen</div>,にわとり,rooster; hen,その <ruby>鶏<rt>にわとり</rt></ruby>は <ruby>毎朝<rt>まいあさ</rt></ruby> <ruby>鳴<rt>な</rt></ruby>きます。,The rooster crows every morning.,noun
肌<div class="hint">skin</div>,はだ,skin,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>肌<rt>はだ</rt></ruby>がとても <ruby>白<rt>しろ</rt></ruby>いですね。,Her skin is very white.,noun
腕時計<div class="hint">wrist watch</div>,うでどけい,wrist watch,<ruby>私<rt>わたし</rt></ruby>の <ruby>腕時計<rt>うでどけい</rt></ruby>は <ruby>遅<rt>おく</rt></ruby>れている。,My watch is running slow.,noun
お辞儀<div class="hint">bow</div>,おじぎ,bow,<ruby>皆<rt>みな</rt></ruby>、 <ruby>社長<rt>しゃちょう</rt></ruby>にお <ruby>辞儀<rt>じぎ</rt></ruby>をした。,Everyone bowed to the company president.,verbal noun
寝坊<div class="hint">oversleeping</div>,ねぼう,oversleeping,<ruby>今朝<rt>けさ</rt></ruby>は <ruby>寝坊<rt>ねぼう</rt></ruby>しました。,I overslept this morning.,verbal noun
シャープペンシル<div class="hint">mechanical pencil</div>,しゃーぷぺんしる,mechanical pencil,<ruby>私<rt>わたし</rt></ruby>のシャープペンシルがありません。,My mechanical pencil is missing.,noun
鉛筆<div class="hint">pencil</div>,えんぴつ,pencil,<ruby>鉛筆<rt>えんぴつ</rt></ruby>を <ruby>貸<rt>か</rt></ruby>してください。,Can I borrow a pencil?,noun
名簿<div class="hint">name list</div>,めいぼ,name list,これが <ruby>参加<rt>さんか</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>の <ruby>名簿<rt>めいぼ</rt></ruby>です。,This is a list of the participants.,noun
箱<div class="hint">box; case</div>,はこ,box; case,この <ruby>箱<rt>はこ</rt></ruby>は <ruby>重<rt>おも</rt></ruby>い。,This box is heavy.,noun
本箱<div class="hint">bookcase</div>,ほんばこ,bookcase,<ruby>雑誌<rt>ざっし</rt></ruby>を <ruby>本箱<rt>ほんばこ</rt></ruby>に <ruby>入<rt>い</rt></ruby>れました。,I put the magazine in the bookcase.,noun
手袋<div class="hint">gloves</div>,てぶくろ,gloves,<ruby>寒<rt>さむ</rt></ruby>いので <ruby>手袋<rt>てぶくろ</rt></ruby>をしました。,I wore gloves because it was cold.,noun
コンサート<div class="hint">concert</div>,こんさーと,concert,<ruby>友達<rt>ともだち</rt></ruby>とジャズのコンサートに <ruby>行<rt>い</rt></ruby>きました。,I went to a jazz concert with my friend.,noun
袋<div class="hint">bag; sack</div>,ふくろ,bag; sack,<ruby>袋<rt>ふくろ</rt></ruby>は <ruby>要<rt>い</rt></ruby>りません。,I don't need a bag.,noun
毛布<div class="hint">blanket</div>,もうふ,blanket,この <ruby>毛布<rt>もうふ</rt></ruby>は <ruby>暖<rt>あたた</rt></ruby>かい。,This blanket is warm.,noun
布団<div class="hint">Japanese-style padded mattress</div>,ふとん,Japanese-style padded mattress,<ruby>母<rt>はは</rt></ruby>が <ruby>布団<rt>ふとん</rt></ruby>を <ruby>干<rt>ほ</rt></ruby>している。,My mother is airing the futons.,noun
小包<div class="hint">parcel; package</div>,こづつみ,parcel; package,フランスの <ruby>友達<rt>ともだち</rt></ruby>から <ruby>小包<rt>こづつみ</rt></ruby>が <ruby>届<rt>とど</rt></ruby>いた。,A package arrived from my friend in France.,noun
包む<div class="hint">wrap; pack</div>,つつむ,wrap; pack,プレゼントをきれいな <ruby>紙<rt>かみ</rt></ruby>で <ruby>包<rt>つつ</rt></ruby>みました。,I wrapped the present in beautiful paper.,verb
ガソリン<div class="hint">gasoline</div>,がそりん,gasoline,<ruby>車<rt>くるま</rt></ruby>にガソリンを <ruby>入<rt>い</rt></ruby>れました。,I put gasoline in my car.,noun
抱える<div class="hint">hold in one's arms</div>,かかえる,hold in one's arms,<ruby>彼<rt>かれ</rt></ruby>は <ruby>大<rt>おお</rt></ruby>きな <ruby>荷物<rt>にもつ</rt></ruby>を <ruby>抱<rt>かか</rt></ruby>えているわ。,He is carrying some large luggage.,verb
文句<div class="hint">complaint; grumble</div>,もんく,complaint; grumble,<ruby>彼女<rt>かのじょ</rt></ruby>はいつも <ruby>文句<rt>もんく</rt></ruby>ばかり <ruby>言<rt>い</rt></ruby>う。,She does nothing but complain.,noun
手帳<div class="hint">notebook</div>,てちょう,notebook,<ruby>新<rt>あたら</rt></ruby>しい <ruby>手帳<rt>てちょう</rt></ruby>を <ruby>買<rt>か</rt></ruby>いました。,I bought a new notebook.,noun
電話帳<div class="hint">telephone book</div>,でんわちょう,telephone book,<ruby>電話<rt>でんわ</rt></ruby> <ruby>帳<rt>ちょう</rt></ruby>を <ruby>見<rt>み</rt></ruby>せてください。,Please show me the telephone book.,noun
牛乳<div class="hint">milk</div>,ぎゅうにゅう,milk,<ruby>私<rt>わたし</rt></ruby>は <ruby>毎朝<rt>まいあさ</rt></ruby>、 <ruby>牛乳<rt>ぎゅうにゅう</rt></ruby>を <ruby>飲<rt>の</rt></ruby>む。,I drink milk every morning.,noun
パンツ<div class="hint">pants; trousers</div>,ぱんつ,pants; trousers,<ruby>彼女<rt>かのじょ</rt></ruby>はスカートよりパンツが <ruby>似合<rt>にあ</rt></ruby>うね。,She looks better in pants than in a skirt.,noun
眺める<div class="hint">look out; gaze</div>,ながめる,look out; gaze,<ruby>猫<rt>ねこ</rt></ruby>が <ruby>窓<rt>まど</rt></ruby>から <ruby>外<rt>そと</rt></ruby>を <ruby>眺<rt>なが</rt></ruby>めているよ。,The cat is at the window looking outside.,verb
封筒<div class="hint">envelope</div>,ふうとう,envelope,その <ruby>手紙<rt>てがみ</rt></ruby>を <ruby>封筒<rt>ふうとう</rt></ruby>に <ruby>入<rt>い</rt></ruby>れた。,I put that letter in an envelope.,noun
出掛ける<div class="hint">go out; leave home</div>,でかける,go out; leave home,<ruby>主人<rt>しゅじん</rt></ruby>はもう <ruby>出掛<rt>でか</rt></ruby>けました。,My husband has already left home.,verb
掛かる<div class="hint">hang</div>,かかる,hang,<ruby>壁<rt>かべ</rt></ruby>に <ruby>大<rt>おお</rt></ruby>きな <ruby>時計<rt>とけい</rt></ruby>が <ruby>掛<rt>か</rt></ruby>かっています。,There's a big clock hanging on the wall.,verb
掛け算<div class="hint">multiplication</div>,かけざん,multiplication,<ruby>弟<rt>おとうと</rt></ruby>は <ruby>掛<rt>か</rt></ruby>け <ruby>算<rt>ざん</rt></ruby>を <ruby>習<rt>なら</rt></ruby>っている。,My little brother is learning multiplication.,verbal noun
そっくり<div class="hint">almost identical</div>,そっくり,almost identical,あの <ruby>親子<rt>おやこ</rt></ruby>はそっくりだね。,That parent and child look identical.,adjectival noun
拍手<div class="hint">applause; clapping</div>,はくしゅ,applause; clapping,<ruby>大<rt>おお</rt></ruby>きな <ruby>拍手<rt>はくしゅ</rt></ruby>が <ruby>上<rt>あ</rt></ruby>がった。,There was a big round of applause.,verbal noun
掃除<div class="hint">cleaning</div>,そうじ,cleaning,<ruby>週末<rt>しゅうまつ</rt></ruby>は <ruby>部屋<rt>へや</rt></ruby>の <ruby>掃除<rt>そうじ</rt></ruby>をしました。,I cleaned my room on the weekend.,verbal noun
掃く<div class="hint">sweep</div>,はく,sweep,<ruby>床<rt>ゆか</rt></ruby>をほうきで <ruby>掃<rt>は</rt></ruby>きました。,I swept the floor with a broom.,verb
掃除機<div class="hint">vacuum cleaner</div>,そうじき,vacuum cleaner,<ruby>掃除<rt>そうじ</rt></ruby> <ruby>機<rt>き</rt></ruby>が <ruby>壊<rt>こわ</rt></ruby>れた。,The vacuum cleaner broke.,noun
いちいち<div class="hint">every time; about everything</div>,いちいち,every time; about everything,<ruby>彼<rt>かれ</rt></ruby>はいちいち <ruby>私<rt>わたし</rt></ruby>に <ruby>指図<rt>さしず</rt></ruby>する。,He always has to give me instructions on everything.,adverb
握る<div class="hint">grasp; grip; hold</div>,にぎる,grasp; grip; hold,<ruby>少女<rt>しょうじょ</rt></ruby>は <ruby>母親<rt>ははおや</rt></ruby>の <ruby>手<rt>て</rt></ruby>を <ruby>握<rt>にぎ</rt></ruby>った。,The girl held her mother's hand.,verb
握手<div class="hint">handshake</div>,あくしゅ,handshake,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>握手<rt>あくしゅ</rt></ruby>をした。,They shook hands.,verbal noun
偶然<div class="hint">by chance; coincidence</div>,ぐうぜん,by chance; coincidence,<ruby>街<rt>まち</rt></ruby>で <ruby>偶然<rt>ぐうぜん</rt></ruby> <ruby>友人<rt>ゆうじん</rt></ruby>に <ruby>会<rt>あ</rt></ruby>いました。,I ran into a friend of mine in the town.,adjectival noun
冗談<div class="hint">joke</div>,じょうだん,joke,<ruby>冗談<rt>じょうだん</rt></ruby>は <ruby>止<rt>や</rt></ruby>めてください。,Please stop joking.,noun
寂しい<div class="hint">lonely; desolate; sad</div>,さびしい,lonely; desolate; sad,これは <ruby>寂<rt>さび</rt></ruby>しい <ruby>曲<rt>きょく</rt></ruby>ですね。,This is a sad song.,adjective
しつこい<div class="hint">persistent</div>,しつこい,persistent,しつこい <ruby>迷惑<rt>めいわく</rt></ruby>メールに <ruby>困<rt>こま</rt></ruby>っている。,I am having trouble with persistent junk mails.,adjective
丁寧<div class="hint">polite; careful</div>,ていねい,polite; careful,<ruby>彼女<rt>かのじょ</rt></ruby>はいつも <ruby>丁寧<rt>ていねい</rt></ruby>に <ruby>仕事<rt>しごと</rt></ruby>をします。,She always works carefully.,adjectival noun
