鬘<div class="hint">toupee; wig</div>,かつら,toupee; wig,<ruby>彼<rt>かれ</rt></ruby>はかつらをつけているらしい。,He seems to be wearing a wig.,
しょんぼり<div class="hint">crestfallen; depressed</div>,しょんぼり,crestfallen; depressed,しょんぼりしてどうしたの。,Why are you so down?,
閉じこもる<div class="hint">shut oneself up</div>,とじこもる,shut oneself up,<ruby>彼<rt>かれ</rt></ruby>はずっと <ruby>部屋<rt>へや</rt></ruby>に <ruby>閉<rt>と</rt></ruby>じこもっています。,He shuts himself away in his room all the time.,
土間<div class="hint">earth floor; pit</div>,どま,earth floor; pit,あの <ruby>家<rt>いえ</rt></ruby>には <ruby>広<rt>ひろ</rt></ruby>い <ruby>土間<rt>どま</rt></ruby>があります。,There is a large earth-floored room in that house.,
円安<div class="hint">depreciation of the yen</div>,えんやす,depreciation of the yen,<ruby>円<rt>えん</rt></ruby> <ruby>安<rt>やす</rt></ruby>で <ruby>輸出<rt>ゆしゅつ</rt></ruby>が <ruby>伸<rt>の</rt></ruby>びています。,Export is expanding due to the weak yen.,
初雪<div class="hint">first snow of the season</div>,はつゆき,first snow of the season,ゆうべ <ruby>初雪<rt>はつゆき</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>りました。,Last night was the first snowfall of the season.,
気前<div class="hint">generosity</div>,きまえ,generosity,<ruby>彼<rt>かれ</rt></ruby>はいつも <ruby>気前<rt>きまえ</rt></ruby>がいい。,He is always generous.,
昼下がり<div class="hint">early afternoon</div>,ひるさがり,early afternoon,<ruby>私<rt>わたし</rt></ruby>は <ruby>昼下<rt>ひるさ</rt></ruby>がりの <ruby>散歩<rt>さんぽ</rt></ruby>が <ruby>好<rt>す</rt></ruby>きです。,I like to take a stroll in the mid-afternoon.,
明晩<div class="hint">tomorrow night</div>,みょうばん,tomorrow night,<ruby>明晩<rt>みょうばん</rt></ruby> <ruby>首相<rt>しゅしょう</rt></ruby>との <ruby>会談<rt>かいだん</rt></ruby>が <ruby>予定<rt>よてい</rt></ruby>されている。,The conference with the Prime Minister is scheduled for tomorrow evening.,
間食<div class="hint">food between meals</div>,かんしょく,food between meals,<ruby>間食<rt>かんしょく</rt></ruby>は <ruby>控<rt>ひか</rt></ruby>えてください。,Please refrain from eating between meals.,
月食<div class="hint">lunar eclipse</div>,げっしょく,lunar eclipse,<ruby>明日<rt>あした</rt></ruby>は <ruby>月食<rt>げっしょく</rt></ruby>が <ruby>見<rt>み</rt></ruby>られるそうです。,I heard that you can see an eclipse of the moon tomorrow.,
ブランコ<div class="hint">swing</div>,ぶらんこ,swing,<ruby>娘<rt>むすめ</rt></ruby>とブランコで <ruby>遊<rt>あそ</rt></ruby>んだ。,I played with my daughter on the swing.,
食み出す<div class="hint">project; protrude</div>,はみだす,project; protrude,シャツがズボンからはみ <ruby>出<rt>だ</rt></ruby>していますよ。,Your shirt is coming out of your pants.,
食み出る<div class="hint">project; protrude</div>,はみでる,project; protrude,<ruby>足<rt>あし</rt></ruby>が <ruby>線<rt>せん</rt></ruby>からはみ <ruby>出<rt>で</rt></ruby>ています。,Your foot is over the line.,
食い下がる<div class="hint">hang on; persist</div>,くいさがる,hang on; persist,<ruby>彼<rt>かれ</rt></ruby>は <ruby>納得<rt>なっとく</rt></ruby>できず <ruby>上司<rt>じょうし</rt></ruby>に <ruby>食い<ruby>下<rt>くいさ</rt></ruby>がった。,He could not consent and held out against the superior.,
朝飯<div class="hint">breakfast</div>,あさめし,breakfast,こんな <ruby>作業<rt>さぎょう</rt></ruby>は <ruby>朝飯前<rt>あさめしまえ</rt></ruby>だ。,This job is a piece of cake.,
買い手<div class="hint">buyer; customer</div>,かいて,buyer; customer,その <ruby>土地<rt>とち</rt></ruby>に <ruby>買い<ruby>手<rt>かいて</rt></ruby>が <ruby>付<rt>つ</rt></ruby>いた。,There is a buyer for that land.,
買いかぶる<div class="hint">overrate</div>,かいかぶる,overrate,あまり <ruby>彼<rt>かれ</rt></ruby>のことを <ruby>買<rt>か</rt></ruby>いかぶらない <ruby>方<rt>ほう</rt></ruby>がいいよ。,It is best not to overestimate him.,
見出す<div class="hint">discover; find out</div>,みいだす,discover; find out,<ruby>彼<rt>かれ</rt></ruby>は <ruby>音楽<rt>おんがく</rt></ruby>に <ruby>喜<rt>よろこ</rt></ruby>びを <ruby>見出<rt>みいだ</rt></ruby>している。,He finds pleasure in music.,
見なす<div class="hint">presume; regard as</div>,みなす,presume; regard as,テストを <ruby>受<rt>う</rt></ruby>けなければ <ruby>単位<rt>たんい</rt></ruby>が <ruby>必要<rt>ひつよう</rt></ruby>ないと <ruby>見<rt>み</rt></ruby>なします。,If you do not take the test it will be assumed that you don't want the credits.,
見す見す<div class="hint">before one's very eyes</div>,みすみす,before one's very eyes,<ruby>彼<rt>かれ</rt></ruby>はチャンスをみすみす <ruby>逃<rt>のが</rt></ruby>してしまった。,He let the opportunity pass him by.,
ずばり<div class="hint">decidedly; once and for all</div>,ずばり,decidedly; once and for all,<ruby>彼<rt>かれ</rt></ruby>は <ruby>言<rt>い</rt></ruby>いにくい <ruby>事<rt>こと</rt></ruby>もずばりと <ruby>言<rt>い</rt></ruby>う。,He bluntly says things that others hesitate to say.,
見せびらかす<div class="hint">display; show off</div>,みせびらかす,display; show off,<ruby>彼<rt>かれ</rt></ruby>は <ruby>新<rt>あたら</rt></ruby>しい <ruby>車<rt>くるま</rt></ruby>を <ruby>友達<rt>ともだち</rt></ruby>に <ruby>見<rt>み</rt></ruby>せびらかした。,He showed off the new car to his friend.,
見晴らす<div class="hint">look out</div>,みはらす,look out,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>海<rt>うみ</rt></ruby>を <ruby>見晴<rt>みは</rt></ruby>らす <ruby>丘<rt>おか</rt></ruby>に <ruby>立<rt>た</rt></ruby>った。,We stood on a hill overlooking the sea.,
言いなり<div class="hint">doing as one is told</div>,いいなり,doing as one is told,<ruby>彼<rt>かれ</rt></ruby>はボスの <ruby>言<rt>い</rt></ruby>いなりだ。,He is the boss's yes-man.,
言わば<div class="hint">in short; so to speak</div>,いわば,in short; so to speak,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>言<rt>い</rt></ruby>わば <ruby>姉<rt>あね</rt></ruby>のような <ruby>存在<rt>そんざい</rt></ruby>です。,She is like a sister to me.,
口語<div class="hint">colloquial language</div>,こうご,colloquial language,<ruby>会話<rt>かいわ</rt></ruby>で <ruby>使<rt>つか</rt></ruby>う <ruby>言葉<rt>ことば</rt></ruby>を <ruby>口語<rt>こうご</rt></ruby>といいます。,Words used in conversation are called colloquialisms.,
英気<div class="hint">energy; vigor</div>,えいき,energy; vigor,<ruby>旅<rt>たび</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>英気<rt>えいき</rt></ruby>を <ruby>養<rt>やしな</rt></ruby>ってくれる。,Travel nurtures my talents.,
文語<div class="hint">literary language</div>,ぶんご,literary language,その <ruby>本<rt>ほん</rt></ruby>は <ruby>文語<rt>ぶんご</rt></ruby> <ruby>体<rt>たい</rt></ruby>で <ruby>書<rt>か</rt></ruby>かれている。,The book is written in a literary style.,
前書き<div class="hint">foreword; preface</div>,まえがき,foreword; preface,<ruby>有名<rt>ゆうめい</rt></ruby>な <ruby>建築<rt>けんちく</rt></ruby> <ruby>家<rt>か</rt></ruby>がこの <ruby>本<rt>ほん</rt></ruby>の <ruby>前書<rt>まえが</rt></ruby>きを <ruby>書<rt>か</rt></ruby>いています。,A famous architect is writing the preface of this book.,
書き初め<div class="hint">New Year's calligraphy</div>,かきぞめ,New Year's calligraphy,<ruby>書き<ruby>初<rt>かきぞ</rt></ruby>めは 1 <ruby>月<rt>がつ</rt></ruby> 2<ruby>日<rt>ふつか</rt></ruby>に <ruby>行<rt>おこな</rt></ruby>う。,The New Year's calligraphy session will be held on January 2nd.,
ビラ<div class="hint">leaflet</div>,びら,leaflet,<ruby>彼<rt>かれ</rt></ruby>は <ruby>駅前<rt>えきまえ</rt></ruby>でビラを <ruby>配<rt>くば</rt></ruby>った。,He distributed flyers around the station.,
目覚める<div class="hint">come to one's senses; wake</div>,めざめる,come to one's senses; wake,<ruby>今日<rt>きょう</rt></ruby>は 6 <ruby>時半<rt>じはん</rt></ruby>に <ruby>目覚<rt>めざ</rt></ruby>めました。,Today I woke up at 6:30.,
会食<div class="hint">dinner together</div>,かいしょく,dinner together,<ruby>会食<rt>かいしょく</rt></ruby>で <ruby>高級<rt>こうきゅう</rt></ruby> <ruby>料理<rt>りょうり</rt></ruby>を <ruby>食<rt>た</rt></ruby>べました。,We dined together on haute cuisine.,
間に合わせ<div class="hint">makeshift</div>,まにあわせ,makeshift,<ruby>間に<ruby>合<rt>まにあ</rt></ruby>わせのレポートを <ruby>提出<rt>ていしゅつ</rt></ruby>した。,I submitted the hashed-together report.,
見合わせる<div class="hint">look at each other; put off</div>,みあわせる,look at each other; put off,<ruby>私<rt>わたし</rt></ruby>は <ruby>友達<rt>ともだち</rt></ruby>と <ruby>顔<rt>かお</rt></ruby>を <ruby>見合<rt>みあ</rt></ruby>わせた。,My friend and I looked at each other.,
円満<div class="hint">harmonious; perfect</div>,えんまん,harmonious; perfect,<ruby>争議<rt>そうぎ</rt></ruby>は <ruby>円満<rt>えんまん</rt></ruby>に <ruby>解決<rt>かいけつ</rt></ruby>された。,The dispute was resolved peacefully.,
仕入れる<div class="hint">lay in; stock</div>,しいれる,lay in; stock,これは <ruby>仕入<rt>しい</rt></ruby>れたばかりの <ruby>新<rt>しん</rt></ruby> <ruby>商品<rt>しょうひん</rt></ruby>ですよ。,This is a new product we have just started to stock.,
満場<div class="hint">the whole house</div>,まんじょう,the whole house,<ruby>市議会<rt>しぎかい</rt></ruby>はその <ruby>方針<rt>ほうしん</rt></ruby>を <ruby>満場一致<rt>まんじょういっち</rt></ruby>で <ruby>可決<rt>かけつ</rt></ruby>した。,The city council passed the policy unanimously.,
客車<div class="hint">passenger car</div>,きゃくしゃ,passenger car,この <ruby>電車<rt>でんしゃ</rt></ruby>には <ruby>客車<rt>きゃくしゃ</rt></ruby>が 5 <ruby>台<rt>だい</rt></ruby>あります。,This train has five passenger cars.,
きらい<div class="hint">tendency; trend</div>,きらい,tendency; trend,<ruby>彼<rt>かれ</rt></ruby>はすぐ <ruby>落ち<ruby>込<rt>おちこ</rt></ruby>むきらいがある。,He has a tendency to get depressed easily.,
空車<div class="hint">empty car; vacant taxi</div>,くうしゃ,empty car; vacant taxi,<ruby>週末<rt>しゅうまつ</rt></ruby>はタクシーの <ruby>空車<rt>くうしゃ</rt></ruby>が <ruby>少<rt>すく</rt></ruby>ない。,There are few empty taxis during the weekend.,
通夜<div class="hint">deathwatch; vigil</div>,つや,deathwatch; vigil,<ruby>知り<ruby>合<rt>しりあ</rt></ruby>いの <ruby>通夜<rt>つや</rt></ruby>に <ruby>出<rt>で</rt></ruby>ました。,I attended the wake of an acquaintance.,
通ずる<div class="hint">lead</div>,つうずる,lead,<ruby>全<rt>すべ</rt></ruby>ての <ruby>道<rt>みち</rt></ruby>はローマに <ruby>通<rt>つう</rt></ruby>ずる。,All roads lead to Rome.,
文通<div class="hint">correspondence</div>,ぶんつう,correspondence,<ruby>昔<rt>むかし</rt></ruby>イギリス <ruby>人<rt>じん</rt></ruby>と <ruby>文通<rt>ぶんつう</rt></ruby>していました。,I used to exchange letters with a British person.,
見地<div class="hint">standpoint; viewpoint</div>,けんち,standpoint; viewpoint,<ruby>科学<rt>かがく</rt></ruby> <ruby>的<rt>てき</rt></ruby>な <ruby>見地<rt>けんち</rt></ruby>から <ruby>考<rt>かんが</rt></ruby>えてみましょう。,Let's think from a scientific viewpoint.,
食い止める<div class="hint">check; hold back</div>,くいとめる,check; hold back,<ruby>倒産<rt>とうさん</rt></ruby>だけは <ruby>食い<ruby>止<rt>くいと</rt></ruby>めた。,They only just avoided bankruptcy.,
口止め<div class="hint">hush up</div>,くちどめ,hush up,そのことについては <ruby>口止<rt>くちど</rt></ruby>めされています。,My lips are sealed on that matter.,
止めどなく<div class="hint">endlessly</div>,とめどなく,endlessly,<ruby>悲<rt>かな</rt></ruby>しい <ruby>知<rt>し</rt></ruby>らせに <ruby>涙<rt>なみだ</rt></ruby>が <ruby>止<rt>と</rt></ruby>めどなく <ruby>出<rt>で</rt></ruby>てきた。,I sobbed uncontrollably at the sad news.,
歩合<div class="hint">commission; rate</div>,ぶあい,commission; rate,<ruby>私<rt>わたし</rt></ruby>の <ruby>給料<rt>きゅうりょう</rt></ruby>は <ruby>歩合<rt>ぶあい</rt></ruby> <ruby>制<rt>せい</rt></ruby>です。,My salary is commision-based.,
くるり<div class="hint">curl</div>,くるり,curl,<ruby>猫<rt>ねこ</rt></ruby>はくるりと <ruby>体<rt>からだ</rt></ruby>を <ruby>丸<rt>まる</rt></ruby>めて <ruby>眠<rt>ねむ</rt></ruby>りについた。,The cat curled up and went to sleep.,
歩む<div class="hint">proceed; walk on</div>,あゆむ,proceed; walk on,<ruby>私<rt>わたし</rt></ruby>たちは <ruby>山道<rt>やまみち</rt></ruby>をゆっくり <ruby>歩<rt>あゆ</rt></ruby>みました。,We walked slowly on the mountain path.,
行き渡る<div class="hint">pervade</div>,いきわたる,pervade,ブロードバンドは <ruby>現在<rt>げんざい</rt></ruby> <ruby>広<rt>ひろ</rt></ruby>く <ruby>行き<ruby>渡<rt>いきわた</rt></ruby>っている。,Nowadays; broadband usage is widespread.,
遠ざかる<div class="hint">become distant</div>,とおざかる,become distant,<ruby>台風<rt>たいふう</rt></ruby>は <ruby>遠<rt>とお</rt></ruby>ざかりました。,The typhoon has passed.,
体長<div class="hint">body length</div>,たいちょう,body length,このイルカの <ruby>体長<rt>たいちょう</rt></ruby>は 3メートルだ。,This dolphin is three meters long.,
国電<div class="hint">National Railway</div>,こくでん,National Railway,<ruby>日本<rt>にほん</rt></ruby>の <ruby>国電<rt>こくでん</rt></ruby>は <ruby>民営<rt>みんえい</rt></ruby> <ruby>化<rt>か</rt></ruby>された。,The Japanese National Railways were privatized.,
あの世<div class="hint">the other world</div>,あのよ,the other world,<ruby>財産<rt>ざいさん</rt></ruby>はあの <ruby>世<rt>よ</rt></ruby>に <ruby>持<rt>も</rt></ruby>っていけない。,You cannot take property into the next world.,
白バイ<div class="hint">white police motorcycle</div>,しろばい,white police motorcycle,<ruby>白バイ<rt>しろばい</rt></ruby>の <ruby>警官<rt>けいかん</rt></ruby>に <ruby>止<rt>と</rt></ruby>まるよう <ruby>指示<rt>しじ</rt></ruby>された。,I was directed to pull over by the motorcycle cop.,
黒子<div class="hint">birthmark; mole</div>,ほくろ,birthmark; mole,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>額<rt>ひたい</rt></ruby>にほくろがあります。,She has a mole on her forehead.,
赤飯<div class="hint">cooked rice and red beans</div>,せきはん,cooked rice and red beans,<ruby>母<rt>はは</rt></ruby>が <ruby>誕生<rt>たんじょう</rt></ruby> <ruby>日<rt>び</rt></ruby>にお <ruby>赤飯<rt>せきはん</rt></ruby>を <ruby>炊<rt>た</rt></ruby>いてくれた。,My mother made steamed rice with red beans on my birthday.,
ゆらゆら<div class="hint">rock</div>,ゆらゆら,rock,<ruby>風<rt>かぜ</rt></ruby>でろうそくの <ruby>火<rt>ひ</rt></ruby>がゆらゆらと <ruby>揺<rt>ゆ</rt></ruby>れている。,The candle flame is flickering in the wind.,
菜食<div class="hint">vegetable diet</div>,さいしょく,vegetable diet,<ruby>私<rt>わたし</rt></ruby>は <ruby>菜食<rt>さいしょく</rt></ruby>は <ruby>健康<rt>けんこう</rt></ruby>に <ruby>良<rt>よ</rt></ruby>いと <ruby>思<rt>おも</rt></ruby>う。,I believe eating vegetables is good for you.,
分からず屋<div class="hint">obstinate person</div>,わからずや,obstinate person,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>分<rt>わ</rt></ruby>からず <ruby>屋<rt>や</rt></ruby>です。,She is an obstinate person.,
未開<div class="hint">primitive; savage</div>,みかい,primitive; savage,<ruby>太平洋<rt>たいへいよう</rt></ruby>には <ruby>未開<rt>みかい</rt></ruby>の <ruby>島<rt>しま</rt></ruby>がたくさんある。,There are a lot of undeveloped islands in the Pacific Ocean.,
解ける<div class="hint">come undone</div>,ほどける,come undone,<ruby>靴<rt>くつ</rt></ruby>のひもがほどけたので <ruby>結<rt>むす</rt></ruby>び <ruby>直<rt>なお</rt></ruby>した。,I retied my shoelaces that had come undone.,
雪解け<div class="hint">thawing of snow</div>,ゆきどけ,thawing of snow,<ruby>雪解<rt>ゆきど</rt></ruby>けで <ruby>川<rt>かわ</rt></ruby>の <ruby>水<rt>みず</rt></ruby>の <ruby>量<rt>りょう</rt></ruby>が <ruby>増<rt>ふ</rt></ruby>えている。,The river is swollen due to the thawing snow.,
有り合わせ<div class="hint">available; in hand</div>,ありあわせ,available; in hand,<ruby>有り<ruby>合<rt>ありあ</rt></ruby>わせで <ruby>夕食<rt>ゆうしょく</rt></ruby>を <ruby>済<rt>す</rt></ruby>ませました。,We made do with what we could find for supper.,
何気無く<div class="hint">as if nothing had happened; casually</div>,なにげなく,as if nothing had happened; casually,<ruby>私<rt>わたし</rt></ruby>は <ruby>何気無<rt>なにげな</rt></ruby>く <ruby>彼<rt>かれ</rt></ruby>の <ruby>方<rt>ほう</rt></ruby>を <ruby>見<rt>み</rt></ruby>た。,I looked in his direction inadvertently.,
用足し<div class="hint">business; errand</div>,ようたし,business; errand,<ruby>彼<rt>かれ</rt></ruby>はちょっと <ruby>用足<rt>ようた</rt></ruby>しに <ruby>出<rt>で</rt></ruby>ています。,He has popped out on an errand.,
前売り<div class="hint">advance sale</div>,まえうり,advance sale,コンサートの <ruby>前売<rt>まえう</rt></ruby>り <ruby>券<rt>けん</rt></ruby>を <ruby>買<rt>か</rt></ruby>った。,I bought advance tickets for the concert.,
ぐったり<div class="hint">run-down; wearily</div>,ぐったり,run-down; wearily,<ruby>子供<rt>こども</rt></ruby>が <ruby>高熱<rt>こうねつ</rt></ruby>でぐったりしています。,The child is very run-down due to a fever.,
小売り<div class="hint">retail</div>,こうり,retail,この <ruby>店<rt>みせ</rt></ruby>では <ruby>小売<rt>こう</rt></ruby>りもしています。,This outlet also does retail.,
売り手<div class="hint">seller</div>,うりて,seller,<ruby>費用<rt>ひよう</rt></ruby>は <ruby>売り<ruby>手<rt>うりて</rt></ruby>が <ruby>負担<rt>ふたん</rt></ruby>します。,The seller bears all costs.,
店開き<div class="hint">opening of a business</div>,みせびらき,opening of a business,<ruby>姉<rt>あね</rt></ruby>が <ruby>来月<rt>らいげつ</rt></ruby> <ruby>洋服<rt>ようふく</rt></ruby> <ruby>屋<rt>や</rt></ruby>を <ruby>店開<rt>みせびら</rt></ruby>きします。,My older sister is opening a fashion boutique next month.,
手品<div class="hint">magic; sleight of hand</div>,てじな,magic; sleight of hand,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>手品<rt>てじな</rt></ruby>が <ruby>得意<rt>とくい</rt></ruby>です。,She is good at magic tricks.,
米価<div class="hint">price of rice</div>,べいか,price of rice,<ruby>今年<rt>ことし</rt></ruby>は <ruby>米価<rt>べいか</rt></ruby>が <ruby>下<rt>さ</rt></ruby>がっています。,The price of rice has fallen this year.,
夏ばて<div class="hint">suffering from the summer heat</div>,なつばて,suffering from the summer heat,<ruby>暑<rt>あつ</rt></ruby>い <ruby>日<rt>ひ</rt></ruby>が <ruby>続<rt>つづ</rt></ruby>いたので <ruby>夏<rt>なつ</rt></ruby>ばてしてしまった。,I am suffering from heat exhaustion as the hot days continue.,
季語<div class="hint">season word</div>,きご,season word,「 <ruby>桜<rt>さくら</rt></ruby>」は <ruby>春<rt>はる</rt></ruby>の <ruby>季語<rt>きご</rt></ruby>です。,&quot;Cherry blossoms&quot; is the season word for spring.,
高熱<div class="hint">high fever</div>,こうねつ,high fever,<ruby>彼<rt>かれ</rt></ruby>はゆうべから <ruby>高熱<rt>こうねつ</rt></ruby>にうなされている。,He has been having nightmares due to a high fever since last night.,
解熱<div class="hint">alleviation of fever</div>,げねつ,alleviation of fever,この <ruby>薬<rt>くすり</rt></ruby>には <ruby>解熱<rt>げねつ</rt></ruby>の <ruby>効果<rt>こうか</rt></ruby>があります。,This medicine is effective in eliminating fever.,
アスファルト<div class="hint">asphalt</div>,あすふぁると,asphalt,その <ruby>道<rt>みち</rt></ruby>はアスファルトに <ruby>舗装<rt>ほそう</rt></ruby>された。,The road was paved with asphalt.,
