秘密,mìmì,a secret; confidential,他告诉她一个私人秘密。,Tā gàosu tā yī gè sīrén mìmì.,He's telling her a personal secret.
直,zhí,straight; vertical; frank; directly; continuously,我一直在这里。,Wǒ yìzhí zài zhèlǐ.,I'll be here for a long time.
简直,jiǎnzhí,simply; at all,,,
的确,díquè,really; indeed,这件衣服的确漂亮。,Zhèjiàn yīfu díquè piàoliang.,This dress is really pretty.
血,xuè xiě,blood (Kangxi radical 143),他的鼻子流血了。,Tā de bízi liúxuè le.,His nose is bleeding.
方,fāng,square; direction; side (Kangxi radical 70),客厅里有一张方桌。,Kètīng lǐ yǒu yī zhāng fāngzhuō.,There's a square table in the living room.
方式,fāngshì,way; style; fashion; manner,我们的生活方式不同。,Wǒmen de shēnghuó fāngshì bù tóng.,Our ways of life are different.
瞧,qiáo,look at; see (colloquial),让我瞧一瞧。,Ràng wǒ qiáo yī qiáo.,Let me have a look.
疯狂,fēngkuáng,crazy; madness; wild; extreme popularity; insane; frenzied; unbridled,,,
片,piàn,a slice; a flake (Kangxi radical 91); (mw for pieces of things);,这 是 谁的 名片？,Zhè shì shéide míngpiàn?,Whose name card is this?
记录,jìlù,to record; take notes,她在记事本上做记录，以便记忆。,Tā zài jìshìběn shàng zuò jìlù yǐbiàn jìyì.,She taking notes in her notebook to help her remember.
太太,tàitai,wife; married woman; Madame; Mrs.,他受到太太的责问。,Tā shòudào tàitai de zéwèn.,He was reproached by his wife.
非,fēi,non-; un-; not be; wrongdoing; simply must (Kangxi radical 175),他工作非常努力。,Tā gōngzuò fēicháng nǔlì.,He works extremely hard.
除非,chúfēi,only if; unless,除非他去，要不然我不去。,Chúfēi tā qù  yàoburán  wǒ bù qù.,I won't go unless he does.
傻,shǎ,foolish; fool,他看起来有点傻。,Tā kànqilai yǒudiǎn shǎ.,He looks a bit silly.
阻止,zǔzhǐ,prevent; to block,,,
想象,xiǎngxiàng,imagine; visualize,,,
完美,wánměi,perfect,这是一个完美的计划。,Zhè shì yígè wánměi de jìhuà.,This is a perfect plan.
克,kè,gram; overcome; restrain,这颗钻石重十克。,Zhè kē zuànshí zhòng shí kè.,This diamond weighs ten grams.
目标,mùbiāo,target; goal; objective,她的目标是当医生。,Tā de mùbiāo shì dāng yīshēng.,Her goal is to become a doctor.
精神,jīngshen,vigor; spirit; mind,我精神上支持你。,Wǒ jīngshén shang zhīchí nǐ.,I'll give you mental support.
碰,pèng,to touch; to bump; to encounter,她碰触了一下他的鼻子。,Tā pèngchùle yī xià tā de bízi.,She touched his nose lightly.
系,xì,be; relate to; system; fasten; department; faculty; connect,他正在检查电脑的服务系统。,Tā zhèng zài jiǎnchá diànnǎo de fúwù xìtǒng.,He's checking the computer's service system.
系统,xìtǒng,system,他正在检查电脑的服务系统。,Tā zhèng zài jiǎnchá diànnǎo de fúwù xìtǒng.,He's checking the computer's service system.
滚,gǔn,to roll; get lost; to boil,摇滚乐是西洋音乐的一种。,Yáogǔnyuè shì Xīyáng yīnyuè de yī zhǒng.,Rock and roll is one form of Western music.
报告,bàogào,to report; make known; inform; speech; lecture,他在写报告。,Tā zài xiě bàogào.,He's writing a report.
人类,rénlèi,humanity; human race; mankind,科学使人类进步。,Kēxué shǐ rénlèi jìnbù.,Science has advanced the human race.
冲,chōng,to rush; to clash; to rinse; thoroughfare,运动员们努力地往前冲。,Yùndòngyuánmen nǔlì de wǎngqián chōng.,The athletes are doing their best to charge forward.
自由,zìyóu,freedom; free; liberty,大家可以自由发表意见。,Dàjiā kěyǐ zìyóu fābiǎo yìjiàn.,Everybody can freely express his or her view.
套,tào,cover; (mw for sets of things); tie together,他穿上了外套。,Tā chuānshangle wàitào.,He put on his overcoat.
姑娘,gūniang,young woman; girl,他娶了一个英国姑娘。,Tā qǔ le yīge Yīngguó gūniang.,He married an English girl.
手术,shǒushù,surgery; operation,手术经过很顺利。,Shǒushù jīngguò hěn shùnlì.,The operation is proceeding smoothly.
必要,bìyào,necessary; essential; indispensable,我们不必要那么做。,Wǒmen bú bìyào nàme zuò.,We don't need to do that.
痛苦,tòngkǔ,pain; suffering; agony,这次感冒给我带来很大的痛苦。,Zhècì gǎnmào gěi wǒ dài lái hěn dà de tòngkǔ.,This flu gave me great suffering.
存在,cúnzài,to exist; to be,它们之间存在明显的差别。,Tāmen zhī jiān cúnzài míngxiǎn de chābié.,There's an obvious difference between them.
组,zǔ,compose; team up; group,他组织我们去旅行。,Tā zǔzhī wǒmen qù lǚxíng.,He's arranging the trip for us.
以及,yǐjí,as well as; too; (formal) and,我买了衣服、裤子以及鞋子。,Wǒ mǎile yīfu kùzi yǐjí xiézi.,I bought clothes and pants as well as shoes.
个人,gèrén,individual; personal; oneself,我认识那个人。,Wǒ rènshi nàge rén.,I know that person.
代表,dàibiǎo,represent; to delegate,奖杯代表了胜利。,Jiǎngbēi dàibiǎole shènglì.,The trophy signifies victory.
意义,yìyì,meaning; significance,礼物很有纪念意义。,Lǐwù hěn yǒu jìniàn yìyì.,Gifts have a lot of sentimental meaning.
承认,chéngrèn,to admit; concede; acknowledge,若他承认错误，则原谅他。,Ruò tā chéngrèn cuòwù zé yuánliàng tā.,If he admits his mistakes then he will be forgiven.
理由,lǐyóu,a reason; grounds; argument,你有什么理由？,Nǐ yǒu shénme lǐyóu?,What's your reason?
显然,xiǎnrán,clear; evidently; obviously,这么高的墙，显然他翻不过去。,Zhème gāo de qiáng xiǎnrán tā fān bù guòqù.,He clearly could not have climbed over such a high wall.
政府,zhèngfǔ,government,这里是政府办公厅。,Zhèli shì zhèngfǔ bàngōngtīng.,This is a government office.
幸运,xìngyùn,luck; fortune,她今天很幸运。,Tā jīntiān hěn xìngyùn.,She is lucky today.
信任,xìnrèn,to trust; have confidence in,孩子都很信任父母。,Háizi dōu hěn xìnrèn fùmǔ.,Children trust their parents very much.
未来,wèilái,future,未来一周我都会很忙。,Wèilái yì zhōu wǒ dōu huì hěn máng.,I'll be busy next week.
吓,xià hè,frighten; to scare; intimidate,他在恐吓人。,Tā zài kǒnghè rén.,He is threatening someone.
治疗,zhìliáo,to treat; to cure; medical treatment,医生在治疗她的牙病。,Yīshēng zài zhìliáo tā de yá bìng.,The doctor is treating her dental problem.
行为,xíngwéi,action; behavior; conduct,我讨厌你的行为。,Wǒ tǎoyàn nǐ de xíngwéi.,I hate what you've done.
婚礼,hūnlǐ,wedding ceremony,婚礼现场已经筹备好了。,Hūnlǐ xiànchǎng yǐjing chóu bèi hǎo le.,The wedding site is already arranged.
组织,zǔzhī,organize; organization,人体的组织结构很复杂。,Réntǐ de zǔzhī jiégòu hěn fùzá.,The structure of the human body is complicated.
老板,lǎobǎn,boss; proprietor; shopkeeper,老板对我的工作要求严格。,Lǎobǎn duì wǒ de gōngzuò yāoqiú yángé.,The boss is strict with my work.
合作,hézuò,cooperate; collaborate; work together,我们合作完成了这个项目。,Wǒmen hézuò wánchéngle zhège xiàngmù.,We worked together to complete the project.
支,zhī,branch; support; put up; (mw for long; narrow objects) (Kangxi radical 65),桌上有一支笔。,Zhuō shàng yǒu yī zhī bǐ.,There is a pen on the desk.
老婆,lǎopó,(informal) wife,她是一位慈祥的老婆婆。,Tā shì yī wèi cíxiáng de lǎopópó.,She's a kindly old lady.
可怕,kěpà,terrible; awful; frightful; scary,艾滋病是可怕的疾病。,Àizībìng shì kěpà de jíbìng.,AIDS is a horrible disease.
中心,zhōngxīn,center; heart; core,天安门广场位于北京市中心。,Tiān'ānmén Guǎngchǎng wèiyú Běijīng Shì zhōngxīn.,Tiananmen Square is in the center of Beijing.
明显,míngxiǎn,clear; obvious,它们之间存在明显的差别。,Tāmen zhī jiān cúnzài míngxiǎn de chābié.,There's an obvious difference between them.
消失,xiāoshī,disappear; fade away; dissolve,太阳消失在云层后面。,Tàiyáng xiāoshī zài yúncéng hòumian.,The sun is disappearing behind the clouds.
位置,wèizhi,position; place; seat,她被安排在这个位置。,Tā bèi ānpái zài zhège wèizhì.,She was assigned to this position.
答应,dāying,to respond; to promise; to answer; agree,她答应与对方合作。,Tā dāying yǔ duìfāng hézuò.,She agreed to cooperate with the other party.
撞,zhuàng,to hit; collide; run into,他被车撞死了。,Tā bèi chē zhuàngsǐ le.,He was killed by a car.
似乎,sìhū,it seems; as if; seemingly,,,
力量,lìliang,power; force; strength,美国军事力量很强。,Měiguó jūnshì lìliang hěn qiáng.,The military power of America is strong.
命令,mìnglìng,an order; a command,军人服从命令。,Jūnrén fúcóng mìnglìng.,Soldiers obey orders.
威胁,wēixié,threaten; to menace,他受到了威胁。,Tā shòudàole wēixié.,He was threatened.
日子,rìzi,days; date; time; life,多么晴朗的日子啊。,Duōme qínglǎng de rìzi a.,What lovely weather!
享受,xiǎngshòu,enjoy,她在享受自然的空气。,Tā zài xiǎngshòu zìrán de kōngqì.,She's enjoying the fresh air.
战争,zhànzhēng,war; conflict,战争爆发了。,Zhànzhēng bàofā le.,War has broken out.
恭喜,gōngxǐ,congratulate,恭喜发财！,Gōngxǐ fācái!,Wish you good fortune!
利用,lìyòng,to use; to make use of; to exploit,他利用梯子爬上房顶。,Tā lìyòng tīzi páshang fángdǐng.,He uses a ladder to climb up to the roof.
恨,hèn,to hate,我恨你。,Wǒ hèn nǐ.,I hate you.
训练,xùnliàn,to train; to drill; to exercise; training,士兵们正在进行军事训练。,Shìbīngmen zhèng zài jìnxíng jūnshì xùnliàn.,The soldiers are in the midst of military drills.
酒吧,jiǔbā,bar,年轻人喜欢去酒吧喝酒。,Niánqīngrén xǐhuan qù jiǔbā hējiǔ.,Young people like to drink in bars.
身份,shēnfèn,identity; status; dignity,我 借 了 别人 身份证。,Wǒ jiè le biérén shēnfènzhèng.,I borrowed some else's ID card.
模特,mótè,(fashion) model,这名模特儿的形体很优美。,Zhè míng mótè de xíngtǐ hěn yōuměi.,This model has a graceful figure.
一旦,yídàn,in case (something happens); once (sth. has happened ... then); in one day,一旦发生问题，怎么办？,Yīdàn fāshēng wèntí zěnme bàn?,What should be done if anything happens?
追,zhuī,pursue; chase,很多人都追求金钱。,Hěn duō rén dōu zhuīqiú jīnqián.,Many people pursue money.
群,qún,crowd; group; (mw for groups flocks or swarms),草地上有一群牛。,Cǎodì shàng yǒu yī qún niú.,There's a herd of cows in the meadow.
面对,miànduì,to face; confront,请大家面对镜头。,Qǐng dàjiā miànduì jìngtóu.,Everyone please face the camera.
居然,jūrán,unexpectedly; to one's surprise; go so far as to,,,
雷,léi,thunder,打雷了。,Dǎléi le.,It's thundering.
真实,zhēnshí,true; real; authentic,这个 网站 真实 用 。,Zhège wǎngzhàn zhēnshí yòng.,This website is truly useful.
人生,rénshēng,human life,他正处于人生的转捩点。,Tā zhèng chǔyú rénshēng de zhuǎnlièdiǎn.,He's right at a turning point in his life.
受伤,shòu shāng,sustain injuries (in an accident etc.); be injured,小猫受伤了。,Xiǎomāo shòushāng le.,The kitten is injured.
夜,yè,night; darkness,赌场 在 夜总会 旁边。,Dǔchǎng zài yèzǒnghuì pángbiān.,The casino is next to the night club.
属于,shǔyú,belong to; be part of,化学属于理科。,Huàxué shǔyú lǐkē.,Chemistry is branch of the natural sciences.
出色,chūsè,remarkable; outstanding; excellent,他是一名出色的哲学家。,Tā shì yī míng chūsè de zhéxuéjiā.,He was an outstanding philosopher.
目前,mùqián,at present; now; for the moment,到目前为止，我还没去过北京。,Dào mùqián wéizhǐ wǒ hái méi qùguò Běijīng.,Up to now I haven't been to Beijing.
锁,suǒ,lock,门被锁住了。,Mén bèi suǒzhù le.,The door has been locked.
梦想,mèngxiǎng,dream of; wishful thinking,我盼望梦想早日实现。,Wǒ pànwàng mèngxiǎng zǎorì shíxiàn.,I long for my dream to come true soon.
人员,rényuán,staff; crew; personnel,全体人员放假一天。,Quántǐ rényuán fàngjià yì tiān,The entire staff has the day off.
英雄,yīngxióng,hero,他们是救火英雄。,Tāmen shì jiùhuǒ yīngxióng.,They're fire-fighting heroes.
感受,gǎnshòu,feel; experience; emotion; impression,我能感受到他的好意。,Wǒ néng gǎnshòu dào tā de hǎoyì.,I can sense his good intentions.
吻,wěn,kiss; lips,她吻了妈妈。,Tā wěnle māma.,She's kissed her mother.
逃,táo,to escape; run away; flee,警察在搜索逃犯。,Jǐngchá zài sōusuǒ táofàn.,The police are searching for an escaped criminal.
数,shǔ,to count; to rank,学生们 什么时候 有 一个 数学 测验？,Xuéshēngmen shénme shí hòu yǒu yī gè shùxué cèyàn?,When will the students have the math test?
公寓,gōngyù,apartment building,那栋公寓很旧了。,Nà dòng gōngyù hěn jiù le.,That apartment building is old.
文件,wénjiàn,document; file,她把文件放在桌上。,Tā bǎ wénjiàn fàng zài zhuō shàng.,She puts the file on the desk.
寻找,xúnzhǎo,seek; look for; quest,他在寻找参考书。,Tā zài xúnzhǎo cānkǎoshū.,He's looking for a reference book.
烂,làn,overcooked; rotten; soft; mushy,苹果腐烂了。,Píngguǒ fǔlàn le.,The apple is rotten.
不然,bùrán,otherwise; not so,下雨了，要不然可以去郊游。,Xià yǔ le yàoburán kěyǐ qù jiāoyóu.,We could have gone on a picnic if not for the rain.
欠,qiàn,yawn; to lack; owe (Kangxi radical 76),他欠了许多钱。,Tā qiànle xǔduō qián.,He owes a lot of money.
反应,fǎnyìng,react; respond; reply,他的反应很迅速。,Tā de fǎnyìng hěn xùnsù.,His response was very quick.
意外,yìwài,unexpected; accident; mishap,意外事件发生了。,Yìwài shìjiàn fāshēng le.,An accident occurred.
食物,shíwù,food,不能浪费食物。,Bù néng làngfèi shíwù.,Don't waste your food.
遗憾,yíhàn,regret; pity; sorry,没能通过考试，她觉得很遗憾。,Méi néng tōngguò kǎoshì tā juéde hěn yíhàn.,She feels very sorry about failing the exam.
反正,fǎnzhèng,anyway,,,
设计,shèjì,plan; design,他设计了一把椅子。,Tā shèjìle yì bǎ yǐzi.,He designed a chair.
醉,zuì,intoxicated; become drunk,我 保证 今晚 不 会 喝醉。,Wǒ bǎozhèng jīnwǎn bú huì hēzuì.,I promise I won't get drunk tonight.
私人,sīrén,private (citizen); personal; individual,她有这家银行的私人帐户。,Tā yǒu zhè jiā yínháng de sīrén zhànghù.,She has a personal account at this bank.
某,mǒu,a certain; some,我认识他们之中的某一个人。,Wǒ rènshi tāmen zhī zhōng de mǒu yī gè rén.,I know one of those people.
伟大,wěidà,great; mighty; large,林肯是伟大的政治家。,Línkěn shì wěidà de zhèngzhìjiā.,Lincoln was a great statesman.
臭,chòu,stench; stink,真臭呀。,Zhēn chòu ya.,It really stinks!
自从,zìcóng,since; ever since,,,
签,qiān,bamboo used for drawing lots; toothpick; to sign (one's name),现在 拿到 签证 不 容易。,Xiànzài nádào qiānzhèng bù róngyì.,Now it is not easy to get a visa.
颗,kē,(mw for hearts and small round things like seeds grains beans etc.),这颗钻石是真的。,Zhè kē zuànshí shì zhēn de.,This diamond is real.
朝,cháo,to face; towards; dynasty,你 应该 去 看 明朝 十三陵。,Nǐ yīnggāi qù kàn Míngcháo shí sān líng.,You should go and see the Ming Tombs.
呼吸,hūxī,breathe,她在做深呼吸。,Tā zài zuò shēnhūxī.,She's doing deep breathing.
明星,míngxīng,(movie etc.) star; celebrity,她是有名的电影明星。,Tā shì yǒumíng de diànyǐng míngxīng.,She is a famous movie star.
超级,chāojí,super; transcending; high grade,我在超级市场。,Wǒ zài chāojí shìchǎng.,I'm in the supermarket.
破坏,pòhuài,destroy; destruction; to wreck; to break,污染对环境造成了破坏。,Wūrǎn duì huánjìng zàochéngle pòhuài.,Pollution has caused damage to the environment.
角色,juésè,role; part,他在电影中常扮演坏人角色。,Tā zài diànyǐng zhōng cháng bànyǎn huàirén juésè.,In the movies he often plays the bad guy.
顿,dùn,pause; arrange; stamp feet; suddenly; (mw for meals),华盛顿是美国的政治中心。,Huáshèngdùn shì Měiguó de zhèngzhì zhōngxīn.,Washington is the political center of America.
便,biàn,then; in that case; as early/little as,她在记事本上做记录，以便记忆。,Tā zài jìshìběn shàng zuò jìlù yǐbiàn jìyì.,She taking notes in her notebook to help her remember.
包括,bāokuò,comprise; include; consist of,包括我在内，我们组有五个人。,Bāokuò wǒ zàinèi wǒmen zǔ yǒu wǔ gè rén.,There are five people in our team including me.
时刻,shíkè,moment; constantly,比赛的关键时刻到了。,Bǐsài de guānjiàn shíkè dào le.,The crucial moment in the game has come.
相当,xiāngdāng,equivalent to; appropriate; considerably; quite,他们两人年龄相当。,Tāmen liǎng rén niánlíng xiāngdāng.,They are of the same age.
闻,wén,hear; to smell; news; reputation,他在报道新闻。,Tā zài bàodào xīnwén.,He's reporting the news.
平,píng,flat; level; equal; ordinary,鸽子象征和平。,Gēzi xiàngzhēng hépíng.,Doves are a symbol of peace.
公平,gōngpíng,fair; impartial; just,法律公平吗?,Fǎlǜ gōngping ma?,Is the law fair?
堆,duī,pile; heap; stack; crowd,地上堆满了行李。,Dìshang duīmǎnle xíngli.,Luggage is piled up on the ground.
俱乐部,jùlèbù,club (group or organization),她是这家俱乐部的会员。,Tā shì zhè jiā jùlèbù de huìyuán.,She's a member of this club.
通常,tōngcháng,regular; usual; normal; ordinary,我通常11点睡觉。,Wǒ tōngcháng shíyī diǎn shuìjiào.,I usually sleep at eleven o'clock.
咬,yǎo,to bite; to nip,不要招惹这条狗，小心被咬！,Bùyào zhāore zhè tiáo gǒu xiǎoxīn bèi yǎo!,Don't provoke this dog; be careful not to get bitten.
造成,zàochéng,to cause; make; bring out,污染对环境造成了破坏。,Wūrǎn duì huánjìng zàochéngle pòhuài.,Pollution has caused damage to the environment.
信号,xìnhào,signal,手机的信号不好。,Shǒujī de xìnhào bù hǎo.,Cell phone reception is poor.
充满,chōngmǎn,brimming with; very full,池子里充满了水。,Chízi lǐ chōngmǎnle shuǐ.,The pool is filled to the brim.
断,duàn,to break; decide; absolutely (usually negative),由于下雨比赛中断了。,Yóuyú xiàyǔ bǐsài zhōngduàn le.,The game has been suspended due to rain.
抢,qiǎng,rob; snatch; scrape,小偷在抢夺她的包。,Xiǎotōu zài qiǎngduó tā de bāo.,The thief is stealing her bag.
现实,xiànshí,reality; actuality; practical,他无法面对现实。,Tā wúfǎ miànduì xiànshí.,He can't face up to reality.
恢复,huīfù,reinstate; resume; recover,物价已经恢复正常。,Wùjià yǐjīng huīfù zhèngcháng.,Prices have returned to normal.
确认,quèrèn,confirm; confirmation; verify,我们确认款到帐后会回复您。,Wǒmen quèrèn kuǎn dào zhàng hòu huì huífù nín.,We will contact you once we confirm that the money has been received.
怀孕,huáiyùn,become pregnant; have conceived,我怀孕了。,Wǒ huáiyùn le.,I'm pregnant.
资料,zīliào,data; material; resources; information,我去图书馆找资料。,Wǒ qù túshūguǎn zhǎo zīliào.,I'm going to the library to try to find some information/materials.
婚姻,hūnyīn,marriage; matrimony; wedding,他们的婚姻很美满。,Tāmen de hūnyīn hěn měimǎn.,They have a happy marriage.
圈,quān,circle; ring; (mw for loops orbits etc.),她在沙滩上画圆圈。,Tā zài shātān shàng huà yuánquān.,She is drawing a circle on the beach.
脑袋,nǎodai,head; mental capability; brains,,,
分手,fēnshǒu,part company; break up,要是你不来，我就跟你分手。,Yàoshi nǐ bù lái wǒ jiù gēn nǐ fēnshǒu.,If you don't come I am going to break up with you.
心理,xīnlǐ,psychology; psychological; mental,忌妒人的心理是人之常情。,jìdu rén de xīnlǐ shì rénzhīchángqíng.,The mentality of being jealous is a normal human emotion.
项,xiàng,nape (of the neck); sum (of money); mw item,我们合作完成了这个项目。,Wǒmen hézuò wánchéngle zhège xiàngmù.,We worked together to complete the project.
记忆,jìyì,memory; to remember,她在记事本上做记录，以便记忆。,Tā zài jìshìběn shàng zuò jìlù yǐbiàn jìyì.,She taking notes in her notebook to help her remember.
紧急,jǐnjí,urgent; pressing,着火了，消防员紧急出动。,Zháohuǒ le xiāofáng yuán jǐnjí chūdòng.,A fire ignited and the firefighters took immediate action.
接近,jiējìn,near; be close to,快接近终点了。,Kuài jiējìn zhōngdiǎn le.,They're nearing the finish line.
吵,chǎo,to quarrel; make noise,邻居们 非常 吵。,Línjūmen fēicháng chǎo.,The neighbors are extremely noisy.
权利,quánlì,right; privilege,总裁的权利很大。,Zǒngcái de quánlì hěn dà.,The president has extensive powers.
冠军,guànjūn,champion,他获得了短跑比赛的冠军。,Tā huòdéle duǎnpǎo bǐsài de guànjūn.,He won the short-distance championship.
教练,jiàoliàn,(athlete's) coach; sports coach; instructor,她做了健身教练。,Tā zuòle jiànshēn jiàoliàn.,She's become a fitness coach.
随时,suíshí,at any time; whenever necessary,随时都有可能下雨。,Suíshí dōu yǒu kěnéng xiàyǔ.,It might rain at any time.
对方,duìfāng,counterpart; the other party involved,她答应与对方合作。,Tā dāying yǔ duìfāng hézuò.,She agreed to cooperate with the other party.
敌人,dírén,enemy,敌人都被杀死了。,Dírén dōu bèi shāsǐ le.,The enemies were all killed.
背,bèi,back; have one's back to; leave; recite,学生们 讨厌 背 生词。,Xuéshēngmen tǎoyàn bèi shēngcí.,The students hate to memorize new words.
人物,rénwù,figure; personage; character (in a play story etc.),拿破仑是着名的历史人物。,Nápòlún shì zhùmíng de lìshǐ rénwù.,Napoleon is a famous historical figure.
猪,zhū,pig,如果 相信 男人 的 话，猪 也 会 上 树。,Rúguǒ xiāngxìn nánrén de huà zhū yě huì shàng shù.,If you believe a man's promise then pigs can climb trees.
感激,gǎnjī,appreciate; feel grateful,我很感激他对我的鼓励。,Wǒ hěn gǎnjī tā duì wǒ de gǔlì.,I appreciate his encouragement.
嫁,jià,marry (a husband); take a husband,她愿意嫁给他。,Tā yuànyì jià gěi tā.,She's willing to marry him.
挑战,tiǎozhàn,challenge,她要挑战自身的极限。,Tā yào tiǎozhàn zìshēn de jíxiàn.,She wants to challenge her own limits.
状态,zhuàngtài,state of affairs; condition; state,他正在监视系统的状态。,Tā zhèng zài jiānshì xìtǒng de zhuàngtài.,He is monitoring the condition of the system.
报道,bàodào,to report; news report,他在报道新闻。,Tā zài bàodào xīnwén.,He's reporting the news.
