得,dé,get; obtain; win; earn,他得到了礼物。,Tā dédàole lǐwù.,He received a gift.
情况,qíngkuàng,circumstance; state of affairs; situation,他的身体情况不好。,Tā de shēntǐ qíngkuàng bù hǎo.,He's not in good condition.
只要,zhǐyào,so long as; if only; provided that,只要不下雨就行。,Zhǐyào bú xiàyǔ jiù xíng.,It would be great if it didn't rain.
份,fèn,part; portion; (mw for documents papers jobs etc.),我点了一份比萨。,Wǒ diǎnle yī fèn bǐsà.,I've ordered a piece of pizza.
底,dǐ,bottom; background; base,杯子底裂了。,Bēizi dǐ liè le.,The bottom of the cup is cracked.
到底,dào dǐ,after all; in the end (used in a question),宇宙到底有多大？,Yǔzhòu dàodǐ yǒu duō dà?,How big is the universe?
成为,chéngwéi,become; turn into,她成为一名护士。,Tā chéngwéi yī míng hùshi.,She's become a nurse.
永远,yǒngyuǎn,forever; eternal; always,我们一家人永远不分离。,Wǒmen yījiārén yǒngyuǎn bù fēnlí.,Our family will never be separated.
安全,ānquán,safe; safety; secure; security,开车要注意安全。,Kāichē yào zhùyì ān quán.,"We need to be cautious (lit. ""pay attention to safety"") when driving."
留,liú,to leave (behind a message); to retain; to stay,把美好的回忆留在心中。,Bǎ měihǎo de huíyì liú zài xīnzhōng.,Hold your beautiful memories in your heart.
计划,jìhuà,plan; project,我计划周末去旅行。,Wǒ jìhuà zhōumò qù lǚxíng.,I plan to take a trip on the weekend.
俩,liǎ,(colloquial) two (people),他们俩的感情很不错。,Tāmen liǎ de gǎnqíng hěn bùcuò.,They have a close relationship.
停,tíng,to stop; to halt; to park (a car),雨停了。,Yǔ tíng le.,The rain has stopped.
感谢,gǎnxiè,thank; be grateful,他对你表示感谢。,Tā duì nǐ biǎoshì gǎnxiè.,He expressed his gratitude towards you.
敢,gǎn,to dare,我不敢游泳。,Wǒ bù gǎn yóuyǒng.,I'm afraid to swim.
从来,cónglái,have always (from the beginning); never (with negative),他很诚实，从来不说谎。,Tā hěn chéngshí cónglái bù shuōhuǎng.,He's very honest and never lies.
赢,yíng,to win; to beat; to profit,结果他们赢了。,Jiéguǒ tāmen yíng le.,They ended up winning.
消息,xiāoxi,news; information,他在看报纸的最新消息。,Tā zài kàn bàozhǐ de zuìxīn xiāoxi.,He's reading the latest news in the paper.
拉,lā,to pull; to play (string instruments); to drag,他教我拉小提琴。,Tā jiāo wǒ lā xiǎotíqín.,He's teaching me to play the violin.
原因,yuányīn,cause; reason,你迟到是什么原因？,Nǐ chídào shì shénme yuányīn?,What's your reason for being late?
连,lián,even; including; join,她甚至连晚饭都没吃。,Tā shènzhì lián wǎnfàn dōu méi chī.,She didn't even have supper.&nbsp;
确实,quèshí,indeed; in truth; reliable,我 确实 不 喜欢 傲慢 的 人。,Wǒ quèshí bù xǐhuan àomàn de rén.,I really don't like arrogant people.
挺,tǐng,straighten up; stick out; rather (good); very,他对我挺好的。,Tā duì wǒ tǐng hǎo de.,He is very kind to me.
保证,bǎozhèng,to guarantee; ensure,我保证把工作做好。,Wǒ bǎozhèng bǎ gōngzuò zuòhǎo.,I promise to do the job well.
接受,jiēshòu,accept; receive (honors etc.),她接受了我的礼物。,Tā jiēshòule wǒ de lǐwù.,She accepted my gift.
改变,gǎibiàn,to change; alter; to transform,他让我们改变了看法。,Tā ràng wǒmen gǎibiànle kànfǎ.,He made us change our views.
麻烦,máfan,trouble (someone); troubling; bothersome,这件事有点麻烦。,Zhè jiàn shì yǒudiǎn máfan.,This is a little troublesome.
出现,chūxiàn,appear; arise; emerge,太阳出现在地平线上。,Tàiyáng chūxiàn zài dìpíngxiàn shàng.,The sun appeared on the horizon.
不管,bùguǎn,no matter (what how etc.); regardless of,不管下不下雨，她都带伞。,Bùguǎn xià bú xiàyǔ tā dōu dài sǎn.,She carries an umbrella whether or not it's raining.
甚至,shènzhì,even (to the point of); so much so that,他很激动，甚至连话都说不出来了。,Tā hěn jīdòng shènzhì lián huà dōu shuō bu chūlái le.,He was so excited that he couldn't utter a word.
保护,bǎohù,to protect; to defend,我们要保护环境。,Wǒmen yào bǎohù huánjìng.,We must protect the environment.
真正,zhēnzhèng,genuine; real; true,他们是真正的朋友。,Tāmen shì zhēnzhèng de péngyou.,They are true friends.
结果,jiéguǒ,result; outcome; finally,还不知道选举的结果。,Hái bù zhīdào xuǎnjǔ de jiéguǒ.,We don't know the election results yet.
当时,dāngshí,then; at that time; while,当时我不在公司。,Dāngshí wǒ bú zài gōngsī.,I wasn't in the company at that time.
至少,zhìshǎo,at least; (to say the) least,他至少40岁了。,Tā zhìshǎo sìshí suì le.,He's at least 40 years old.
律师,lǜshī,lawyer,这件事我已经咨询了律师。,Zhè jiàn shì wǒ yǐjīng zīxúnle lǜshī.,I've already sought the advice of a lawyer regarding this problem.
表演,biǎoyǎn,perform; to play,他在讲台上发表演讲。,Tā zài jiǎngtái shàng fābiǎo yǎnjiǎng.,He's standing at the dais making a speech.
无,wú,have not; without; not (Kangxi radical 71),室内无人。,Shìnèi wú rén.,There is nobody in the room.
猜,cāi,to guess,猜猜里面是什么？,Cāicai lǐmiàn shì shénme?,Guess what's inside.
咱们,zánmen,we (including the listener); us; our,咱们北京见！,Zánmen Běijīng jiàn!,Let's meet in Beijing.
进行,jìnxíng,carry on; carry out; undertake,联合国对难民进行救济。,Liánhéguó duì nànmín jìnxíng jiùjì.,The United Nations is providing relief to the refugees.
内,nèi,inside; inner; internal; within,屋内很暖。,Wūnèi hěn nuǎn.,It's warm inside the house.
是否,shìfǒu,whether (or not); if,你是否喜欢这些花？,Nǐ shìfǒu xǐhuan zhèxiē huā?,Do you like these flowers?
调查,diàochá,investigate; survey; inquiry,我们对客户进行了问卷调查。,Wǒmen duì kèhù jìnxíngle wènjuàn diàochá.,We did a survey of our clients.
成功,chénggōng,success; to succeed,他们取得了成功。,Tāmen qǔdéle chénggōng.,They were very successful.
考虑,kǎolǜ,think over; consider,让我考虑一下。,Ràng wǒ kǎolǜ yī xià.,Let me think it over.
约会,yuēhuì,appointment; engagement; date,他约会迟到了，向女朋友道歉。,Tā yuēhuì chídào le xiàng nǚ péngyou dàoqiàn.,He apologized to his girlfriend because he was late for the date.
通过,tōngguò,by means of; through (a method); pass through; via,他们通过协商解决问题。,Tāmen tōngguò xiéshāng jiějué wèntí.,They solved the problem through negotiation.
开心,kāixīn,feel happy; have a great time; make fun of somebody,他们活得很开心。,Tāmen huó de hěn kāixīn.,They're living a happy life.
母亲,mǔqin,mother,我爱我的母亲。,Wǒ ài wǒ de mǔqin.,I love my mother.
主意,zhǔyi,plan; idea; decision,我觉得这个主意不错。,Wǒ juéde zhège zhǔyi búcuò.,I think that's a good idea.
倒,dǎo,to collapse; to fall; fail; to exchange,箱子倒了。,Xiāngzi dǎo le.,The box fell.
解释,jiěshì,to explain,他解释了自己的方案。,Tā jiěshìle zìjǐ de fāng'àn.,He explained his plan.
联系,liánxì,integrate; link; connection; contact,我们经常联系。,Wǒmen jīngcháng liánxì.,We keep in touch regularly.
证明,zhèngmíng,proof; testify; confirm; certificate,电脑记录证明了我的想法是对的。,Diànnǎo jìlù zhèngmíngle wǒ de xiǎngfa shì duì de.,The computer records prove that my ideas were correct.
生命,shēngmìng,life,我们要爱护生命。,Wǒmen yào àihù shēngmìng.,We should love and protect all lives.
难道,nándào,could it be that ...?; don't tell me ...,,,
由,yóu,follow; from; by; through,新书的序言由他执笔。,Xīnshū de xùyán yóu tā zhíbǐ.,The new book's preface is written by him.
指,zhǐ,finger; to point (at to out); refer to,她的手指很漂亮。,Tā de shǒuzhǐ hěn piàoliang.,Her fingers are very beautiful.
危险,wēixiǎn,danger; dangerous; perilous,骑摩托车很危险。,Qí mótuōchē hěn wēixiǎn.,Riding a motorbike is very dangerous.
讨厌,tǎoyàn,to hate; loathe; disgusting; troublesome,我讨厌你的行为。,Wǒ tǎoyàn nǐ de xíngwéi.,I hate what you've done.
醒,xǐng,wake up,闹钟响了，但是他没醒。,Nàozhōng xiǎng le dànshì tā méi xǐng.,The alarm clock has rung but he hasn't yet woken up.
样子,yàngzi,manner; air; appearance; looks,这双鞋的样子很好看。,Zhè shuāng xié de yàngzi hěn hǎokàn.,This pair of shoes looks beautiful.
有趣,yǒuqù,interesting; fascinating; amusing,这个故事真有趣呀。,Zhège gùshi zhēn yǒuqù ya.,This story is really interesting.
提,tí,to carry; to lift; to raise (an issue),我的收入提高了。,Wǒ de shōurù tígāo le.,My income went up.
部分,bùfen,part; share; section,实验部分很重要。,Shíyàn bùfen hěn zhòngyào.,The experimental part is very important.
理解,lǐjiě,comprehend; understand,我不理解你说的话。,Wǒ bù lǐjiě nǐ shuō de huà.,I don't understand what you said.
重,zhòng,heavy; serious; important,这些苹果重5斤。,Zhèxiē píngguǒ zhòng wǔ jīn.,These apples weigh five pounds.
任务,rènwu,a mission; an assignment; a task,士兵在执行一项任务。,Shìbīng zài zhíxíng yī xiàng rènwu.,The soldiers are on a mission.
使,shǐ,to use; to make; to cause; enable; envoy; messenger,这支笔不好使。,Zhè zhī bǐ bù hǎo shǐ.,This pen isn't easy to use.
转,zhuǎn,to turn; to change; pass on,请 右 转。,Qǐng yòu zhuǎn.,Please turn right.
博士,bóshì,doctor; PhD,他是经济博士。,Tā shì jīngjì bóshì.,He is a PhD in Economics.
紧张,jǐnzhāng,nervous; tension; strain,他考试前很紧张。,Tā kǎoshì qián hěn jǐnzhāng.,He was very nervous before the examination.
放弃,fàngqì,abandon; renounce; give up,虽然跑得很累，但是很多人都没有放弃。,Suīrán pǎo de hěn lèi dànshì hěn duō rén dōu méiyǒu fàngqì.,Though exhausted from running many refused to give up.
大概,dàgài,probably; roughly; approximate,河水的水位大概是6米。,Héshuǐ de shuǐwèi dàgài shì liù mǐ.,The water level of the river is about six meters.
重新,chóngxīn,again; anew; once more,让我们重新开始吧。,Ràng wǒmen chóngxīn kāishǐ ba.,Let's start over.
其中,qízhōng,among; in; included among these,其中的高个子就是我哥哥。,Qízhōng de gāogèzi jiù shì wǒ gēge.,The tall one of the group is my older brother.
来自,láizì,come from (a place),我们来自东方。,Wǒmen lái zì dōngfāng.,We're from the East.
本来,běnlái,originally; at first,杜 先生 本来 只 想 和 她 做 朋友。,Dù xiānsheng běnlái zhǐ xiǎng hé tā zuò péngyou.,Mr. Du originally just wanted to be friends with her.
并且,bìngqiě,and; besides; moreover,办公室很宽敞，并且很明亮。,Bàngōngshì hěn kuānchang bìngqiě hěn míngliàng.,The office is very spacious and bright.
直接,zhíjiē,direct; immediate,我直接走向卧室。,Wǒ zhíjiē zǒuxiàng wòshì.,I go straight toward the bedroom.
对于,duìyú,regarding; as far as sth. is concerned; with regards to; for,对于电脑我一点也不懂。,Duìyú diànnǎo wǒ yìdiǎn yě bù dǒng.,I know nothing about computers.
正常,zhèngcháng,normal; regular; ordinary,你的心跳很正常。,Nǐ de xīntiào hěn zhèngcháng.,Your heartbeat is quite normal.
遍,biàn,a time; everywhere; turn; (mw for times or turns),请你再说一遍。,Qǐng nǐ zài shuō yí biàn.,Can you please say it again.
冷静,lěngjìng,calm; cool-headed; sober,,,
方法,fāngfǎ,method; way; means,你用什么方法减肥？,Nǐ yòng shénme fāngfǎ jiǎnféi?,What method are you using to lose weight?
扔,rēng,to throw; throw away,我去扔垃圾。,Wǒ qù rēng lājī.,I'm going to throw out the garbage.
能力,nénglì,capability; capable; ability,她的工作能力不亚于其他人。,Tā de gōngzuò nénglì bùyàyú qítā rén.,She is every bit as competent in her work as others.
另外,lìngwài,another; in addition; besides,我们另外找时间见面。,Wǒmen lìngwài zhǎo shíjiān jiànmiàn.,Let's find another time to meet.
放松,fàngsōng,relax; loosen; slacken,放松，别紧张。,Fàngsōng bié jǐnzhāng.,Relax don't be nervous.
丢,diū,lose (something); throw; put aside,出国旅行护照丢了会很麻烦。,Chūguó lǚxíng hùzhào diūle huì hěn máfan.,It can be very troublesome if you lose your passport when traveling overseas.
负责,fùzé,responsible for (something); in charge of,他负责教数学。,Tā fùzé jiāo shùxué.,He is responsible for teaching mathematics.
梦,mèng,to dream,她从梦中醒过来。,Tā cóng mèng zhōng xǐng guòlái.,She woke up from her dream.
戴,dài,put on; to wear; to respect,她戴着一条银手链。,Tā dàizhe yī tiáo yín shǒuliàn.,She's wearing a silver bracelet.
错误,cuòwù,error; mistake; mistaken,这个信息是错误的。,Zhège xìnxī shì cuòwù de.,This information is wrong.
随便,suíbiàn,as one pleases; informal; random; casual,他的穿着很随便。,Tā de chuānzhuó hěn suíbiàn.,He is dressed very casually.
经历,jīnglì,undergo; to experience,他的工作经历很丰富。,Tā de gōngzuò jīnglì hěn fēngfù.,He has a wealth of work experience.
支持,zhīchí,sustain; hold out; support; stand by (e.g. international support),我精神上支持你。,Wǒ jīngshén shang zhīchí nǐ.,I'll give you mental support.
建议,jiànyì,to propose; to suggest; recommend,那是我的建议。,Nà shì wǒ de jiànyì.,That's my suggestion.
否则,fǒuzé,if not; otherwise; or else,考试前要复习，否则很难通过。,Kǎoshì qián yào fùxí fǒuzé hěn nán tōng'guò.,You must review before exams otherwise it's hard to pass.
光,guāng,light; ray; bright; only; merely; used up,今晚没什么月光。,Jīnwǎn méi shénme yuèguāng.,There's no moonlight tonight.
安排,ānpái,arrange; to plan,房间为您安排好了。,Fángjiān wèi nín ānpái hǎo le.,The room has been arranged for you.
钥匙,yàoshi,key,我把钥匙交给了房东。,Wǒ bǎ yàoshi jiāogěile fángdōng.,I gave my key to the landlord.
信息,xìnxī,information; news; message,这个信息是错误的。,Zhège xìnxī shì cuòwù de.,This information is wrong.
全部,quánbù,whole; entire; complete,他做完了全部的工作。,Tā zuòwánle quánbù de gōngzuò.,He finished all the work.
首先,shǒuxiān,first (of all); in the first place; firstly,我在会上首先发言。,Wǒ zài huì shang shǒuxiān fāyán.,I spoke first at the meeting.
照,zhào,to shine; illuminate; according to,阳光照在树叶上。,Yángguāng zhào zài shùyè shàng.,The sun is shining on the tree leaves.
交,jiāo,deliver; turn over; intersect; to pay (money); friendship,我把钥匙交给了房东。,Wǒ bǎ yàoshi jiāogěile fángdōng.,I gave my key to the landlord.
台,tái,platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),歌迷在台下欢呼。,Gēmí zài táixià huānhū.,The fans are cheering below the stage.
坚持,jiānchí,persist in; persevere,初冬时节，他还坚持晨跑。,Chūdōng shíjié tā hái jiānchí chénpǎo.,He still insists on running in the morning even though it's early winter.
生意,shēngyi,business; trade,我要去跟他谈生意。,Wǒ yào qù gēn tā tán shēngyì.,I will talk business with him.
火,huǒ,fire (Kangxi radical 86),房间里有火。,Fángjiān li yǒu huǒ.,There's a fire in the room.
即使,jíshǐ,even if; even though,即使失败了也没关系。,Jíshǐ shībàile yě méiguānxi.,It doesn't matter even if you fail.
到处,dàochù,everywhere; in all places; all over,,,
挂,guà,hang; put up; suspend,墙上挂着一幅画像。,Qiáng shàng guàzhe yì fú huàxiàng.,There's a portrait hanging on the wall.
道歉,dàoqiàn,apologize; make an apology,她要求他道歉。,Tā yāoqiú tā dàoqiàn.,She demanded he apologize.
可怜,kělián,pitiful; poor; pathetic,他很可怜。,Tā hěn kělián.,He is very pitiful.
实在,shízài,honest; in reality; honestly; indeed; certainly,,,
骗,piàn,to cheat; to swindle; deceive,我不相信，他在骗我。,Wǒ bù xiāngxìn tā zài piàn wǒ.,I don't believe it--he's deceiving me.
原谅,yuánliàng,to excuse; forgive; to pardon,我希望你能原谅我。,Wǒ xīwàng nǐ néng yuánliàng wǒ.,I hope you can forgive me.
乱,luàn,disorder; confusion; arbitrarily,他的房间很乱。,Tāde fángjiān hěn luàn.,His room is a mess.
差不多,chàbuduō,almost; about the same,他们差不多一样高。,Tāmen chàbuduō yīyàng gāo.,They are about the same height.
满,mǎn,full; abbreviation for Manchurian,船上堆满了货物。,Chuán shàng duī mǎn le huòwù.,The ship is fully loaded with cargo.
假,jiǎ,fake; if; borrow,我 刚刚 休假 回来。,Wǒ gānggāng xiūjià huílái.,I just came back from my vacation.
研究,yánjiū,to study; to research,他们在研究世界地图。,Tāmen zài yánjiū shìjiè dìtú.,They're studying the world map.
打扰,dǎrǎo,disturb,不要打扰我工作！,Bùyào dǎrǎo wǒ gōngzuò!,Don't disturb my work!
正确,zhèngquè,correct; proper,这是正确答案。,Zhè shì zhèngquè dá'àn.,This is the correct answer.
收,shōu,receive; accept; collect; to harvest,我的收入提高了。,Wǒ de shōurù tígāo le.,My income went up.
秒,miǎo,second (unit of time or angle),这次赛跑他用了13秒。,Zhè cì sàipǎo tā yòngle shísān miǎo.,He took thirteen seconds to complete the race.
同时,tóngshí,at the same time; simultaneously,他们同时走了。,Tāmen tóngshí zǒu le.,They left at the same time.
提供,tígōng,to supply; provide; furnish,她们提供电话服务。,Tāmen tígōng diànhuà fúwù.,They provide telephone service.
输,shū,to transport; to lose (a game etc.),售货员请我输入卡号密码。,Shòuhuòyuán qǐng wǒ shūrù kǎhào mìmǎ.,The salesperson asked me to enter my pin number.
号码,hàomǎ,number,这是我的电话号码。,Zhè shì wǒ de diànhuà hàomǎ.,This is my telephone number.
座,zuò,seat; base; stand; constellation; (mw for mountains bridges tall buildings etc.);,这座城市很大。,Zhè zuò chéngshì hěn dà.,This is a huge city.
比如,bǐrú,for example; for instance; such as,,,
严重,yánzhòng,grave; serious; critical,他病得很严重。,Tā bìng de hěn yánzhòng.,He was very ill.
脱,tuō,to shed; take off; to escape,她正在脱外套。,Tā zhèng zài tuō wàitào.,She's taking off her coat.
陪,péi,accompany; keep company,爷爷在陪孙女玩。,Yéye zài péi sūnnǚ wánr.,The grandfather is playing with his granddaughter.
法律,fǎlǜ,law; statute,我们必须遵守法律。,Wǒmen bìxū zūnshǒu fǎlǜ.,We must obey the law.
值得,zhíde,be worth; deserve,这枚钻戒值得收藏。,Zhè méi zuànjiè zhíde shōucáng.,This diamond ring is worth collecting.
使用,shǐyòng,to use; employ; apply; administer; manipulate,她能使用这台打印机。,Tā néng shǐyòng zhè tái dǎyìnjī.,She can use this printer.
方面,fāngmiàn,aspect; field; side,在学习方面他的成绩很好。,Zài xuéxí fāngmiàn tā de chéngjì hěn hǎo.,Regarding his studies his grades are very good.
原来,yuánlái,original; former; as it turns out,把它恢复到原来的状态。,Bǎ tā huīfù dào yuánlái de zhuàngtài.,Return it to its original state.
讨论,tǎolùn,to discuss; discussion; to talk over,他们在讨论这个案子。,Tāmen zài tǎolùn zhège ànzi.,They are discussing the case.
说明,shuōmíng,explain; explanation; illustrate; to show,请说明你的观点。,Qǐng shuōmíng nǐ de guāndiǎn.,Please explain your point of view.
仍然,réngrán,still; yet,这个村子的生活条件仍然很原始。,Zhège cūnzi de shēnghuó tiáojiàn réngrán hěn yuánshǐ.,The living conditions in this village are still very primitive.
动作,dòngzuò,movement; motion; action,她的体操动作很标准。,Tā de tǐcāo dòngzuò hěn biāozhǔn.,Her gymnastics moves are up to the standard.
受到,shòudào,receive (influence restriction etc.); be subjected to,我受到了热烈的欢迎。,Wǒ shòudàole rèliè de huānyíng.,I received a warm welcome.
赶,gǎn,catch up; overtake; drive away,我及时赶到了车站。,Wǒ jíshí gǎndàole chēzhàn.,I made it to the station in time.
怀疑,huáiyí,doubt; to suspect; be skeptical,他怀疑事情出了问题。,Tā huáiyí shìqing chūle wèntí.,He suspects something has gone wrong.
拒绝,jùjué,to refuse; to decline; to reject,他们拒绝和好。,Tāmen jùjué héhǎo.,They refuse to reconcile.
演员,yǎnyuán,actor or actress; performer,她是女演员。,Tā shì nǚyǎnyuán.,She's an actress.
破,pò,broken; damaged; to split,那个箱子破了。,Nàge xiāngzi pò le.,The trunk is broken.
因此,yīncǐ,therefore; thus; that is why; because of this,下雨，因此比赛延期了。,Xiàyǔ yīncǐ bǐsài yánqī le.,The game will be postponed because it's raining.
答案,dá'àn,answer; solution,请告诉我答案。,Qǐng gàosu wǒ dá'àn.,Please tell me the answer.
活动,huódòng,activity; exercise; move about,孩子们在这里活动。,Háizimen zài zhèlǐ huódòng.,Children are exercising here.
既然,jìrán,since; given that; now that,既然天晴了，我们把衣服晾了吧。,Jìrán tiānqíng le wǒmen bǎ yīfu liàng le ba.,Since the weather became sunny let's hang our clothes.
通知,tōngzhī,notify; to inform; notice,他通知我去开会。,Tā tōngzhī wǒ qù kāihuì.,He informed me that I should attend the meeting.
不得不,bù dé bù,have to; have no choice but to; cannot but,,,
无论,wúlùn,no matter what; regardless of whether...,无论天气如何，他都去跑步。,Wúlùn tiānqì rúhé tā dōu qù pǎobù.,No matter what the weather he always goes jogging.
刀,dāo,knife; blade (Kangxi radical 18),我 需要 买 新的 剃须刀。,Wǒ xūyào mǎi xīnde tìxūdāo.,I need to buy a new razor.
适合,shìhé,to suit; to fit,太极运动适合老年人。,Tàijí yùndòng shìhé lǎoniánrén.,Tai Chi exercises are appropriate for the elderly.
失望,shīwàng,disappointed; lose hope,对不起让你失望了。,Duìbuqǐ ràng nǐ shīwàng le.,I'm sorry to have disappointed you.
允许,yǔnxǔ,to permit; allow,她不允许丈夫出门。,Tā bù yǔnxǔ zhàngfu chūmén.,She won't allow her husband to go out.
意见,yìjiàn,opinion; view; suggestion; complaint,你有什么意见？,Nǐ yǒu shénme yìjiàn?,What's your opinion?
获得,huòdé,obtain; acquire; to gain,他获得了一个机会。,Tā huòdéle yī gè jīhuì.,He's obtained an opportunity.
要是,yàoshi,if; suppose; in case,要是你不来，我就跟你分手。,Yàoshi nǐ bù lái wǒ jiù gēn nǐ fēnshǒu.,If you don't come I am going to break up with you.
邀请,yāoqǐng,to invite,她被邀请参加派对。,Tā bèi yāoqǐng cānjiā pàiduì.,She was invited to a party.
尽管,jǐnguǎn,despite; although; even though,有什么要求尽管说。,Yǒu shénme yāoqiú jǐnguǎn shuō.,Feel free to ask whatever you want.
浪费,làngfèi,to waste; squander,不能浪费食物。,Bù néng làngfèi shíwù.,Don't waste your food.
失败,shībài,be defeated; fail; lose,他投资失败了。,Tā tóuzī shībài le.,His investment was a failure.
责任,zérèn,responsibility; blame; duty,儿女有责任赡养父母。,Érnǚ yǒu zérèn shànyǎng fùmǔ.,It's the duty of children to care for their parents.
美丽,měilì,beautiful,她年轻而美丽。,Tā niánqīng ér měilì.,She's young and beautiful.
压力,yālì,pressure; stress,他承受着很大的工作压力。,Tā chéngshòuzhe hěn dà de gōngzuò yālì.,He's under a lot of pressure at work.
味道,wèidao,flavor; taste,这道菜的味道很一般。,Zhè dào cài de wèidao hěn yìbān.,The taste of this dish is very ordinary.
厉害,lìhai,terrible; formidable; fierce; cool; awesome,他感冒了，头痛得厉害。,Tā gǎnmào le tóu tòngde lìhai.,He caught a cold and has a bad headache.
出发,chūfā,start out; set off,他要出发了。,Tā yào chūfā le.,He has to leave.
兴奋,xīngfèn,excitement; be excited,你为什么如此兴奋？,Nǐ wèishénme rúcǐ xīngfèn?,Why are you so excited?
观众,guānzhòng,spectator; audience,看台上挤满了观众。,Kàntái shàng jǐmǎn le guānzhòng.,Spectators crowded the bleachers.
反对,fǎnduì,oppose; fight against,NO表示反对。,NO biǎoshì fǎnduì.,No means opposition.
精彩,jīngcǎi,brilliant; spectacular; wonderful,话剧表演得很精彩。,Huàjù biǎoyǎn de hěn jīngcǎi.,The play was brilliant.
